"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Andrew Wiggins","MIN",82,3048,189,441,126,63,61,21,44,29,34
"Karl-Anthony Towns","MIN",82,3030,220,507,153,67,83,26,44,12,55
"James Harden","HOU",81,2947,907,2182,539,368,481,41,17,96,272
"Giannis Antetokounmpo","MIL",80,2845,434,1060,242,192,151,52,39,48,144
"John Wall","WAS",78,2836,831,1950,543,288,345,101,97,81,207
"Jimmy Butler","CHI",76,2809,417,959,292,125,115,80,97,50,75
"Harrison Barnes","DAL",79,2804,116,322,26,90,11,5,10,21,69
"Russell Westbrook","OKC",81,2802,840,1886,634,206,471,97,66,76,130
"CJ McCollum","POR",80,2796,285,692,163,122,94,31,38,36,86
"LeBron James","CLE",74,2795,646,1641,297,349,199,40,58,161,188
"Trevor Ariza","HOU",80,2773,175,426,99,76,69,20,10,28,48
"Rudy Gobert","UTA",81,2744,97,232,59,38,42,5,12,2,36
"Kemba Walker","CHA",79,2739,434,1021,281,153,152,60,69,20,133
"Devin Booker","PHX",78,2731,268,630,174,94,119,23,32,33,61
"Anthony Davis","NOP",75,2708,157,378,93,64,70,13,10,26,38
"Damian Lillard","POR",75,2693,440,1039,281,159,183,57,41,46,113
"Paul George","IND",75,2689,251,586,167,84,94,34,39,37,47
"Bradley Beal","WAS",77,2684,267,619,182,85,88,44,50,28,57
"Jeff Teague","IND",82,2657,639,1456,461,178,218,77,166,44,134
"Gorgui Dieng","MIN",82,2653,158,371,103,55,61,12,30,19,36
"Klay Thompson","GSW",78,2649,160,365,115,45,88,15,12,16,29
"Stephen Curry","GSW",79,2639,524,1211,361,163,270,37,54,50,113
"DeMar DeRozan","TOR",74,2620,290,712,158,132,85,28,45,46,86
"Nicolas Batum","CHA",77,2617,456,1049,319,137,218,66,35,28,109
"Otto Porter Jr.","WAS",80,2605,121,275,88,33,47,13,28,13,20
"DeAndre Jordan","LAC",81,2571,96,234,54,42,16,5,33,12,30
"Isaiah Thomas","BOS",76,2570,449,1090,257,192,171,35,51,59,133
"Tobias Harris","DET",82,2566,142,334,92,50,45,29,18,17,33
"Marcus Morris","DET",79,2565,160,351,129,31,65,35,29,10,21
"Marcin Gortat","WAS",82,2556,121,297,66,55,38,6,22,15,40
"Myles Turner","IND",81,2541,106,260,58,48,36,11,11,24,24
"Carmelo Anthony","NYK",74,2538,213,499,140,73,75,32,33,31,42
"Marc Gasol","MEM",74,2531,338,803,211,127,139,36,36,37,90
"Kentavious Caldwell-Pope","DET",76,2529,193,443,136,57,78,37,21,10,47
"Kyrie Irving","CLE",72,2525,418,1013,241,177,162,50,29,56,121
"Gordon Hayward","UTA",73,2516,252,611,145,107,107,22,16,47,60
"Hassan Whiteside","MIA",77,2514,57,128,43,14,28,6,9,2,12
"Wesley Matthews","DAL",73,2495,210,521,109,101,37,21,51,22,79
"Dennis Schroder","ATL",79,2485,499,1158,339,160,216,54,69,40,120
"Kawhi Leonard","SAS",74,2475,260,644,136,124,72,25,39,51,73
"Draymond Green","GSW",76,2471,533,1248,351,182,224,48,79,36,146
"Ricky Rubio","MIN",75,2469,682,1513,533,149,322,108,103,64,85
"DeMarcus Cousins","NOP",72,2466,332,798,198,134,129,30,39,57,77
"Goran Dragic","MIA",73,2460,423,1029,240,183,129,55,56,72,111
"Courtney Lee","NYK",77,2459,179,418,119,60,58,28,33,21,39
"Serge Ibaka","TOR",79,2422,75,181,44,31,23,10,11,6,25
"Elfrid Payton","ORL",82,2412,529,1206,381,148,196,79,106,30,118
"Andre Drummond","DET",81,2410,90,212,58,32,26,10,22,9,23
"Marcus Smart","BOS",79,2399,364,869,223,141,163,27,33,37,104
"Jordan Clarkson","LAL",82,2397,213,477,162,51,112,35,15,16,35
"Steven Adams","OKC",80,2389,86,217,41,45,33,2,6,5,40
"Andre Roberson","OKC",79,2376,79,190,47,32,29,4,14,15,17
"Markieff Morris","WAS",76,2374,126,288,90,36,54,14,22,12,24
"Solomon Hill","NOP",80,2374,141,325,98,43,63,18,17,12,31
"Michael Kidd-Gilchrist","CHA",81,2350,114,280,62,52,30,17,15,10,42
"Paul Millsap","ATL",69,2343,252,600,156,96,111,9,36,42,54
"Tristan Thompson","CLE",78,2337,77,193,38,39,23,3,12,12,27
"Tony Snell","MIL",80,2336,96,221,67,29,42,15,10,10,19
"Jae Crowder","BOS",72,2335,155,373,92,63,58,17,17,19,44
"LaMarcus Aldridge","SAS",72,2335,139,345,72,67,32,11,29,19,48
