"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Antoine Walker","BOS",81,3407,407,902,319,88,184,25,110,19,69
"Tim Duncan","SAS",82,3332,307,684,237,70,166,22,49,20,50
"Latrell Sprewell","NYK",81,3328,313,711,228,85,81,73,74,33,52
"Baron Davis","CHH",82,3320,698,1478,616,82,293,77,246,23,59
"Paul Pierce","BOS",82,3299,261,609,174,87,87,18,69,23,64
"Gary Payton","SEA",82,3297,737,1666,545,192,226,111,208,43,149
"Stephon Marbury","PHX",82,3187,666,1439,559,107,270,68,221,38,69
"Kevin Garnett","MIN",81,3172,422,904,362,60,122,66,174,21,39
"Jalen Rose","CHI",83,3156,355,770,295,60,155,52,88,12,48
"Eddie Jones","MIA",81,3155,262,551,235,27,86,52,97,14,13
"Anthony Mason","MIL",82,3140,346,784,254,92,71,73,110,24,68
"Wally Szczerbiak","MIN",82,3121,257,551,220,37,69,68,83,10,27
"Cuttino Mobley","HOU",74,3116,187,425,136,51,69,13,54,19,32
"Shawn Marion","PHX",81,3108,163,354,135,28,64,30,41,4,24
"Shane Battier","MEM",78,3098,216,467,181,35,81,31,69,11,24
"Kobe Bryant","LAL",80,3065,438,1036,278,160,141,66,71,67,93
"Jason Kidd","NJN",82,3056,808,1743,681,127,443,94,144,21,106
"Brent Barry","SEA",81,3038,426,912,366,60,179,67,120,21,39
"Karl Malone","UTA",80,3038,341,710,313,28,192,24,97,5,23
"Antawn Jamison","GSW",82,3033,161,348,135,26,52,23,60,4,22
"Jeff McInnis","LAC",81,3032,500,1088,412,88,191,115,106,11,77
"Andre Miller","CLE",81,3019,882,1938,708,174,252,105,351,47,127
"Elton Brand","LAC",80,3016,191,447,126,65,54,32,40,6,59
"Pau Gasol","MEM",82,3002,223,487,182,41,64,41,77,11,30
"Shareef Abdur-Rahim","ATL",77,2978,239,560,157,82,83,15,59,18,64
"Antonio Davis","TOR",77,2977,155,342,123,32,49,20,54,11,21
"Jason Terry","ATL",78,2968,444,954,378,66,182,61,135,21,45
"Rasheed Wallace","POR",79,2966,152,326,130,22,83,11,36,4,18
"Alvin Williams","TOR",82,2933,468,1035,369,99,147,75,147,21,78
"Ben Wallace","DET",80,2919,115,265,80,35,29,9,42,15,20
"Allan Houston","NYK",77,2915,190,429,141,49,49,43,49,22,27
"Tracy McGrady","ORL",76,2909,400,930,270,130,146,27,97,36,94
"Dikembe Mutombo","PHI",80,2906,83,175,74,9,30,10,34,2,7
"Dirk Nowitzki","DAL",76,2891,186,426,132,54,65,31,36,9,45
"Reggie Miller","IND",79,2891,253,535,224,29,97,63,64,13,16
"Clifford Robinson","DET",80,2855,202,457,149,53,84,19,46,25,28
"Steve Nash","DAL",82,2838,634,1428,474,160,243,74,157,47,113
"Doug Christie","SAC",81,2796,340,718,302,38,156,30,116,23,15
"Damon Stoudamire","POR",75,2793,490,1096,374,116,176,55,143,31,85
"Wesley Person","CLE",78,2793,173,371,148,25,58,37,53,8,17
"Kurt Thomas","NYK",82,2770,87,195,66,21,36,12,18,4,17
"Michael Finley","DAL",69,2755,230,543,147,83,61,30,56,16,67
"Darrell Armstrong","ORL",82,2733,453,1031,328,125,168,22,138,19,106
"Jermaine O'Neal","IND",72,2708,118,255,99,19,47,10,42,9,10
"Jerry Stackhouse","DET",76,2686,403,932,277,126,144,53,80,36,90
"Mike Bibby","SAC",80,2657,403,893,316,87,168,28,120,31,56
"Peja Stojakovic","SAC",71,2648,175,392,133,42,56,17,60,19,23
"Juwan Howard","DEN",81,2634,169,380,127,42,61,19,47,11,31
"Jason Richardson","GSW",80,2628,236,501,207,29,78,57,72,5,24
"Allen Iverson","PHI",60,2624,331,689,304,27,132,58,114,18,9
"Sam Cassell","MIL",74,2607,493,1095,384,109,150,128,106,21,88
"Kerry Kittles","NJN",82,2599,216,484,164,52,86,26,52,14,38
"Rashard Lewis","SEA",71,2584,123,287,82,41,34,12,36,14,27
"Michael Olowokandi","LAC",80,2570,90,223,47,43,19,11,17,3,40
"John Stockton","UTA",82,2570,674,1418,604,70,340,64,200,22,48
"P.J. Brown","CHH",80,2563,107,242,79,28,25,17,37,5,23
"Matt Harpring","PHI",81,2547,107,235,86,21,29,29,28,2,19
