"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Kevin Durant","OKC",81,3122,445,1004,331,114,188,59,84,46,68
"Monta Ellis","DAL",82,3023,471,1105,308,163,184,51,73,33,130
"DeMar DeRozan","TOR",79,3017,313,786,153,160,82,31,40,49,111
"Carmelo Anthony","NYK",77,2982,242,592,134,108,84,14,36,34,74
"John Wall","WAS",82,2980,721,1689,474,247,298,62,114,112,135
"Nicolas Batum","POR",82,2956,420,946,314,106,170,43,101,31,75
"Damian Lillard","POR",82,2937,457,1071,300,157,145,46,109,47,110
"LeBron James","MIA",77,2902,488,1156,308,180,187,40,81,90,90
"Paul George","IND",80,2898,283,630,219,64,92,56,71,21,43
"DeAndre Jordan","LAC",82,2871,74,166,56,18,35,4,17,4,14
"Klay Thompson","GSW",81,2868,181,408,135,46,85,24,26,15,31
"Blake Griffin","LAC",80,2864,309,713,214,95,139,21,54,45,50
"Kyle Lowry","TOR",79,2862,586,1319,439,147,216,105,118,61,86
"Stephen Curry","GSW",78,2846,666,1486,512,154,329,91,92,52,102
"Joakim Noah","CHI",80,2820,431,954,339,92,192,36,111,21,71
"Jeff Green","BOS",82,2805,138,318,96,42,44,10,42,16,26
"Gordon Hayward","UTA",77,2800,400,932,268,132,159,50,59,42,90
"Kevin Love","MIN",77,2797,341,739,284,57,191,44,49,18,39
"Chandler Parsons","HOU",74,2783,298,695,199,99,155,32,12,31,68
"Wesley Matthews","POR",82,2780,197,445,146,51,58,20,68,15,36
"James Harden","HOU",73,2778,446,1043,295,151,240,39,16,50,101
"Lance Stephenson","IND",78,2752,359,809,268,91,123,41,104,37,54
"Josh Smith","DET",77,2730,252,574,182,70,146,18,18,38,32
"Brandon Jennings","DET",80,2728,609,1322,505,104,344,77,84,40,64
"Trevor Ariza","WAS",77,2723,191,432,141,50,85,17,39,17,33
"Thaddeus Young","PHI",79,2718,182,407,139,43,105,18,16,11,32
"Zach Randolph","MEM",79,2705,200,448,152,48,88,28,36,5,43
"Greg Monroe","DET",82,2690,171,388,125,46,91,12,22,15,31
"Goran Dragic","PHX",76,2668,447,1090,251,196,148,40,63,65,131
"Serge Ibaka","OKC",81,2666,85,207,48,37,29,4,15,11,26
"Marcin Gortat","WAS",81,2655,138,317,97,41,33,14,50,10,31
"Ricky Rubio","MIN",82,2638,704,1590,522,182,338,89,95,50,132
"Dirk Nowitzki","DAL",80,2628,216,490,158,58,105,27,26,24,34
"Andre Drummond","DET",81,2619,35,79,26,9,19,1,6,2,7
"Kemba Walker","CHA",73,2614,447,998,343,104,153,61,129,23,81
"Corey Brewer","MIN",81,2609,135,310,95,40,74,10,11,6,34
"Robin Lopez","POR",82,2604,73,176,43,30,23,3,17,7,23
"Tristan Thompson","CLE",82,2594,72,170,46,26,24,7,15,10,16
"Jimmy Butler","CHI",67,2591,175,394,131,44,65,16,50,16,28
"Mike Dunleavy","CHI",82,2584,186,403,155,31,78,28,49,13,18
"Joe Johnson","BKN",79,2575,216,515,133,83,77,23,33,21,62
"Jodie Meeks","LAL",77,2556,138,325,89,49,50,16,23,14,35
"Al Jefferson","CHA",73,2553,155,360,105,50,66,14,25,10,40
"Arron Afflalo","ORL",73,2552,248,571,173,75,84,29,60,19,56
"Jeff Teague","ATL",79,2542,528,1225,359,169,180,71,108,45,124
"Chris Bosh","MIA",79,2531,87,206,55,32,36,7,12,16,16
"Rudy Gay","SAC",73,2531,209,469,158,51,93,35,30,13,38
"Bradley Beal","WAS",73,2530,243,544,185,58,78,42,65,19,39
"LaMarcus Aldridge","POR",69,2499,178,446,88,90,60,11,17,33,57
"Isaiah Thomas","SAC",72,2497,454,1012,350,104,174,60,116,30,74
"Kyrie Irving","CLE",71,2496,433,965,334,99,141,83,110,27,72
"PJ Tucker","PHX",81,2490,141,336,87,54,53,10,24,16,38
"Victor Oladipo","ORL",80,2486,327,728,253,74,114,40,99,24,50
"Randy Foye","DEN",81,2485,287,648,213,74,153,30,30,31,43
"Paul Millsap","ATL",74,2482,232,549,147,85,90,23,34,41,44
"David West","IND",80,2472,223,518,151,72,90,33,28,22,50
"Spencer Hawes","CLE",80,2470,240,522,198,42,130,30,38,12,30
"Jose Calderon","DAL",81,2469,377,851,280,97,132,68,80,32,65
"Gerald Henderson","CHA",77,2461,199,446,151,48,80,32,39,11,37
"Khris Middleton","MIL",82,2460,169,372,135,34,86,18,31,11,23
