"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Michael Finley","DAL",82,3444,360,841,239,121,112,48,79,44,77
"Antoine Walker","BOS",81,3394,445,960,375,70,186,52,137,22,48
"Antawn Jamison","GSW",82,3393,164,352,140,24,56,32,52,9,15
"Anthony Mason","MIA",80,3255,248,605,139,109,57,22,60,27,82
"Gary Payton","SEA",79,3244,642,1415,511,131,273,109,129,30,101
"Shareef Abdur-Rahim","VAN",81,3241,250,556,194,56,58,25,111,9,47
"Jerry Stackhouse","DET",80,3211,410,900,330,80,144,40,146,29,51
"Kevin Garnett","MIN",81,3203,401,873,330,71,112,57,161,20,51
"Steve Francis","HOU",80,3194,517,1149,402,115,229,62,111,38,77
"Mike Bibby","VAN",82,3191,685,1425,630,55,261,96,273,21,34
"Baron Davis","CHH",82,3189,598,1284,510,88,188,105,217,19,69
"Reggie Miller","IND",81,3183,260,557,223,37,86,65,72,13,24
"Tim Duncan","SAS",82,3174,245,554,181,64,102,21,58,18,46
"Ray Allen","MIL",82,3131,374,846,276,98,101,78,97,36,62
"Paul Pierce","BOS",82,3124,253,588,171,82,87,28,56,35,47
"Dirk Nowitzki","DAL",82,3123,173,387,132,41,74,26,32,10,31
"David Wesley","CHH",82,3105,361,781,302,59,119,77,106,20,39
"Tracy McGrady","ORL",77,3094,352,787,269,83,162,34,73,16,67
"Jason Terry","ATL",82,3091,403,853,356,47,152,74,130,16,31
"Jason Kidd","PHX",77,3067,753,1604,655,98,265,137,253,27,71
"Latrell Sprewell","NYK",77,3013,269,615,192,77,89,40,63,20,57
"Cuttino Mobley","HOU",79,3006,195,438,147,48,84,23,40,14,34
"Jamal Mashburn","CHH",76,2992,411,881,352,59,145,69,138,12,47
"Vince Carter","TOR",75,2980,291,621,252,39,106,38,108,13,26
"Allen Iverson","PHI",71,2976,325,696,279,46,136,62,81,22,24
"Juwan Howard","DAL",81,2976,224,502,170,54,91,33,46,13,41
"Jalen Rose","IND",72,2948,435,958,347,88,137,73,137,34,54
"Rasheed Wallace","POR",77,2943,212,463,173,39,99,35,39,9,30
"Doug Christie","SAC",81,2941,289,623,244,45,125,44,75,13,32
"Shaquille O'Neal","LAL",74,2922,277,644,187,90,101,16,70,3,87
"Elton Brand","CHI",74,2910,240,543,177,63,66,21,90,8,55
"Peja Stojakovic","SAC",75,2905,164,358,134,30,71,16,47,12,18
"Karl Malone","UTA",81,2891,361,776,307,54,177,41,89,17,37
"Derek Anderson","SAS",82,2860,301,674,229,72,115,51,63,33,39
"Shawn Marion","PHX",79,2859,160,352,128,32,55,24,49,10,22
"Allan Houston","NYK",78,2858,173,382,137,36,69,34,34,14,22
"Wally Szczerbiak","MIN",82,2856,260,571,209,51,66,49,94,19,32
"Andre Miller","CLE",82,2847,657,1388,583,74,275,86,222,32,42
"Chris Webber","SAC",70,2835,294,669,213,81,135,39,39,18,63
"Lamar Odom","LAC",76,2830,392,859,317,75,146,90,81,19,56
"Jeff McInnis","LAC",81,2829,447,993,348,99,143,94,111,13,86
"Terrell Brandon","MIN",78,2822,583,1231,518,65,188,87,243,25,40
"Glenn Robinson","MIL",76,2812,252,575,181,71,69,48,64,32,39
"P.J. Brown","CHH",80,2806,127,278,103,24,34,27,42,4,20
"Kobe Bryant","LAL",68,2791,338,735,279,59,153,65,61,14,45
"Clar. Weatherspoon","CLE",82,2778,103,217,92,11,37,17,38,4,7
"Darrell Armstrong","ORL",75,2774,524,1149,423,101,174,43,206,13,88
"Brian Grant","MIA",82,2774,101,221,82,19,53,17,12,3,16
"Charles Oakley","TOR",78,2767,264,590,202,62,95,39,68,13,49
"Ben Wallace","DET",80,2762,123,281,88,35,39,8,41,11,24
"Clifford Robinson","PHX",82,2752,237,519,192,45,94,36,62,20,25
"Antonio Davis","TOR",78,2731,106,233,85,21,35,10,40,5,16
"Rashard Lewis","SEA",78,2723,125,284,91,34,49,15,27,10,24
"Sam Cassell","MIL",76,2711,580,1301,439,141,159,117,163,33,108
"Bruce Bowen","MIA",82,2687,132,305,91,41,31,15,45,13,28
"Nick Van Exel","DEN",71,2686,600,1315,485,115,245,62,178,48,67
"Damon Stoudamire","POR",82,2653,468,992,412,56,181,65,166,17,39
"George Lynch","PHI",82,2649,139,292,125,14,64,32,29,5,9
"Jermaine O'Neal","IND",81,2638,98,223,71,27,31,7,33,7,20
"Michael Dickerson","VAN",70,2620,233,512,187,46,54,36,97,8,38
"Tim Hardaway","MIA",77,2614,483,1048,401,82,179,65,157,27,55
"Dikembe Mutombo","PHI",75,2594,76,170,58,18,19,13,26,2,16
"Mark Jackson","NYK",83,2582,661,1415,568,93,201,81,286,22,71
"Stephon Marbury","NJN",67,2558,506,1116,402,104,171,71,160,26,78
"Antonio McDyess","DEN",70,2557,146,368,70,76,31,7,32,28,48
"Steven Smith","POR",81,2541,213,474,165,48,66,19,80,12,36
"Bo Outlaw","ORL",80,2538,225,512,163,62,72,14,77,18,44
"Ron Mercer","CHI",61,2534,201,449,154,47,62,42,50,8,39
"Richard Hamilton","WAS",78,2520,224,480,192,32,88,39,65,10,22
"Bryant Stith","BOS",78,2507,168,397,107,61,45,27,35,13,48
"Bryon Russell","UTA",78,2474,160,342,138,22,72,21,45,10,12
"Raef LaFrentz","DEN",78,2457,107,240,81,26,33,20,28,9,17
"Travis Best","IND",77,2456,473,1053,366,107,115,60,191,48,59
"Howard Eisley","DAL",82,2429,295,652,233,62,84,49,100,18,44
"Vlade Divac","SAC",81,2417,231,521,172,59,120,8,44,31,28
"Shandon Anderson","HOU",82,2398,189,423,144,45,75,23,46,14,31
"John Stockton","UTA",82,2395,713,1501,638,75,351,89,198,33,42
"Alvin Williams","TOR",82,2391,407,903,318,89,112,39,167,29,60
"Aaron McKie","PHI",76,2391,377,799,332,45,157,83,92,12,33
"Horace Grant","LAL",77,2389,121,266,97,24,26,22,49,6,18
"Mike Miller","ORL",82,2389,140,313,107,33,52,15,40,9,24
"Steve Nash","DAL",70,2387,509,1132,395,114,178,74,143,25,89
"David Robinson","SAS",80,2371,116,260,88,28,52,15,21,16,12
"Tyrone Hill","PHI",76,2365,48,106,38,10,23,10,5,2,8
"Chucky Atkins","DET",81,2364,330,711,279,51,121,34,124,14,37
"Metta World Peace","CHI",76,2363,228,483,201,27,83,43,75,3,24
"Mookie Blaylock","GSW",69,2353,462,967,419,43,161,126,132,7,36
"Elden Campbell","CHH",78,2339,104,241,71,33,25,12,34,7,26
"Voshon Lenard","DEN",80,2334,190,404,166,24,79,40,47,3,21
"Aaron Williams","NJN",82,2334,88,195,69,19,41,6,22,3,16
"Donyell Marshall","UTA",81,2329,133,285,114,19,68,15,31,5,14
"Rick Fox","LAL",82,2294,262,556,230,32,116,39,75,9,23
"Jason Williams","SAC",77,2290,416,907,341,75,167,38,136,23,52
"Tony Delk","PHX",82,2287,160,342,138,22,50,35,53,7,15
"Eddie Jones","MIA",63,2277,171,382,131,40,55,28,48,11,29
"Kenyon Martin","NJN",68,2273,131,291,102,29,49,17,36,7,22
"James Posey","DEN",82,2257,163,372,117,46,40,22,55,15,31
"Fred Hoiberg","CHI",74,2245,263,554,235,28,77,78,80,6,22
"Lamond Murray","CLE",78,2225,124,259,113,11,49,24,40,4,7
"Glen Rice","NYK",75,2212,89,203,64,25,34,19,11,6,19
"Rodney Rogers","PHX",82,2182,180,386,154,26,64,26,64,10,16
"Dale Davis","POR",81,2160,103,229,80,23,26,12,42,12,11
"Eric Piatkowski","LAC",81,2144,96,207,81,15,38,19,24,4,11
"Darius Miles","LAC",81,2139,99,213,84,15,52,16,16,4,11
"Marcus Camby","NYK",63,2131,52,110,46,6,32,7,7,2,4
"Scottie Pippen","POR",64,2131,294,629,253,41,116,60,77,6,35
"Vin Baker","SEA",76,2129,90,221,49,41,30,4,15,8,33
"Kurt Thomas","NYK",77,2128,63,141,48,15,30,8,10,6,9
"Michael Olowokandi","LAC",82,2128,46,106,32,14,15,6,11,0,14
"John Starks","UTA",75,2126,178,372,162,16,81,29,52,4,12
"Anthony Peeler","MIN",75,2122,192,401,175,17,62,40,73,7,10
"Larry Johnson","NYK",65,2108,127,289,92,35,29,18,45,10,25
"Patrick Ewing","SEA",79,2102,92,210,66,26,48,8,10,5,21
"Tim Thomas","MIL",76,2084,138,321,93,45,22,34,37,17,28
"Lucious Harris","NJN",73,2071,135,296,109,26,35,22,52,8,18
"Antonio Daniels","SAS",79,2063,304,672,240,64,98,49,93,34,30
"Ruben Patterson","SEA",76,2061,161,370,113,48,66,21,26,16,32
"Johnny Newman","NJN",82,2051,115,253,92,23,41,15,36,5,18
"Lindsey Hunter","MIL",82,2003,222,494,172,50,72,43,57,15,35
"Shawn Bradley","DAL",82,2003,38,84,30,8,16,7,7,3,5
"George McCloud","DEN",76,2003,279,603,234,45,128,45,61,19,26
