"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Monta Ellis","GSW",80,3227,450,1057,293,157,171,37,85,57,100
"LaMarcus Aldridge","POR",81,3212,170,411,99,71,59,14,26,13,58
"Luol Deng","CHI",82,3208,230,517,173,57,104,18,51,20,37
"Dorell Wright","GSW",82,3147,242,578,148,94,88,15,45,36,58
"Blake Griffin","LAC",82,3112,312,743,193,119,108,27,58,23,96
"LeBron James","MIA",79,3063,554,1260,402,152,175,51,176,61,91
"Kevin Durant","OKC",78,3038,214,476,166,48,107,13,46,12,36
"Pau Gasol","LAL",82,3037,273,609,210,63,128,29,53,24,39
"Derrick Rose","CHI",81,3026,623,1409,460,163,231,57,172,63,100
"Al Jefferson","UTA",82,2941,149,338,109,40,59,12,38,4,36
"Dwight Howard","ORL",78,2935,107,271,50,57,20,10,20,13,44
"Jrue Holiday","PHI",82,2901,531,1159,434,97,203,83,148,37,60
"Ray Allen","BOS",80,2890,219,461,196,23,120,22,54,8,15
"Brook Lopez","NJN",82,2889,129,290,97,32,39,14,44,4,28
"Chris Paul","NOH",80,2880,782,1735,611,171,252,98,261,63,108
"Mike Conley","MEM",81,2872,528,1121,463,65,236,71,156,25,40
"Amar'e Stoudemire","NYK",78,2870,202,491,115,87,78,6,31,28,59
"DeMar DeRozan","TOR",82,2851,148,329,115,33,64,19,32,7,26
"Russell Westbrook","OKC",82,2848,670,1476,534,136,270,52,212,25,111
"Dwyane Wade","MIA",76,2823,346,794,244,102,124,17,103,55,47
"Elton Brand","PHI",81,2809,120,272,88,32,38,16,34,5,27
"Chris Bosh","MIA",77,2795,144,331,101,43,53,10,38,17,26
"Kobe Bryant","LAL",82,2779,388,871,293,95,166,50,77,51,44
"Boris Diaw","CHA",82,2778,337,739,272,65,138,46,88,15,50
"Paul Pierce","BOS",80,2774,260,567,213,47,103,29,81,27,20
"Danny Granger","IND",79,2763,203,458,151,52,88,16,47,17,35
"Wesley Matthews","POR",82,2758,164,366,126,38,53,19,54,18,20
"D.J. Augustin","CHA",82,2757,498,1114,380,118,173,36,171,27,91
"Carmelo Anthony","NYK",77,2751,221,517,146,75,101,18,27,34,41
"Raymond Felton","DEN",75,2737,625,1440,435,190,294,55,86,59,131
"Beno Udrih","SAC",79,2734,386,858,300,86,143,52,105,39,47
"Zach Randolph","MEM",75,2724,163,366,123,40,91,17,15,5,35
"Jason Richardson","ORL",80,2715,147,350,91,56,54,18,19,13,43
