,,,,,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,Per 75 Possesions,,,,,,,,,,,,,,,,,,,,Shooting,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
57,Kelly Olynyk,2020-21,29,TOT,NBA,5.1,70,62,1997,16.4,0.528,0.251,4.8,22.5,13.6,16,1.9,2.1,14,19.7,115,110,2.5,2.6,0.121,0.2,0.9,1.1,1.6,6.2,12.7,3.9,6,2.3,6.7,2.6,3.2,1.6,7.3,8.9,3.7,1.4,0.8,2.3,3.8,17.3,0.484,0.641,0.342,0.574,0.829,0.61
58,Mason Plumlee,2020-21,30,DET,NBA,5.1,56,56,1499,18.7,0.018,0.444,10.6,28.1,19.3,21,1.4,2.9,18.7,16.3,122,109,3,2.1,0.164,0.3,1.8,2.1,1.5,5.7,9.4,5.7,9.2,0,0.2,2.8,4.1,3.6,9.2,12.7,5,1.1,1.2,2.6,4.6,14.3,0.614,0.626,0,0.614,0.669,0.638
59,Thaddeus Young,2020-21,32,CHI,NBA,5.1,68,23,1652,20.3,0.068,0.171,11.4,16.9,14.2,27.1,2.2,2.1,16.1,22.3,116,110,2.8,2.2,0.147,2,1.2,3.2,2.2,8.1,14.6,7.9,13.6,0.3,1,1.6,2.5,3.7,5.6,9.3,6.4,1.6,0.9,3,3.3,18.1,0.559,0.58,0.267,0.568,0.628,0.578
60,Nicolas Batum,2020-21,32,LAC,NBA,5,67,38,1835,12.9,0.66,0.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,124,110,2.7,2.3,0.132,0.5,1,1.4,1.6,3.9,8.3,1.6,2.8,2.2,5.5,1,1.2,1,5.4,6.4,3,1.4,0.7,1.1,2.1,10.9,0.464,0.579,0.404,0.597,0.828,0.617
61,Kevin Durant,2020-21,32,BRK,NBA,5,35,32,1157,26.4,0.313,0.395,1.3,21.3,11.8,27.5,1,3.4,14.5,31.2,122,112,3.7,1.2,0.206,6.2,0.6,6.9,2.6,10.1,18.9,7.5,12.9,2.7,5.9,6.6,7.4,0.4,7.3,7.7,6.1,0.8,1.4,3.8,2.2,29.5,0.537,0.577,0.45,0.608,0.882,0.666
62,Devin Booker,2020-21,24,PHO,NBA,4.9,67,67,2270,19.2,0.288,0.305,1.7,12.1,7,20.6,1.2,0.6,12.4,32.7,110,114,2.9,2,0.104,1.4,-1.5,-0.1,1.1,10.2,21,8.1,14.9,2.1,6.1,5.5,6.4,0.6,4,4.6,4.7,0.9,0.3,3.4,3,27.9,0.484,0.543,0.34,0.533,0.867,0.587
63,Jaylen Brown,2020-21,24,BOS,NBA,4.8,58,58,1999,19.9,0.37,0.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,112,113,2.8,2,0.115,3.5,-1,2.5,2.3,9.9,20.4,6.9,12.8,3,7.5,3.5,4.6,1.3,5.1,6.4,3.6,1.3,0.6,2.9,3.1,26.2,0.484,0.536,0.397,0.558,0.764,0.586
64,T.J. McConnell,2020-21,28,IND,NBA,4.8,69,3,1796,16.9,0.098,0.098,3.3,12.1,7.7,34.3,3.4,1,20.9,15.3,117,110,2.6,2.2,0.128,-0.1,1.6,1.5,1.6,5.4,9.7,5.1,8.7,0.3,0.9,0.7,0.9,1.1,4,5.1,9,2.5,0.5,2.7,2.2,11.8,0.559,0.586,0.313,0.574,0.688,0.583
65,Bobby Portis,2020-21,25,MIL,NBA,4.8,66,7,1372,19.9,0.263,0.122,9.9,25.3,17.9,7.4,1.8,1.7,8.2,20.9,121,109,2.8,2,0.167,2,-0.6,1.4,1.2,8,15.4,6.1,11.3,1.9,4,1.4,1.9,3.2,8.8,12,1.8,1.3,0.7,1.4,3,19.4,0.523,0.542,0.471,0.585,0.74,0.598
66,CJ McCollum,2020-21,29,POR,NBA,4.7,47,47,1600,20.8,0.475,0.15,2,10.6,6.2,23,1.3,1.2,6.5,27.1,120,118,4.1,0.6,0.141,4.9,-1.5,3.3,2.1,9.3,20.2,5.4,10.6,3.9,9.6,2.5,3,0.7,3.5,4.2,5.1,1,0.5,1.5,2,24.9,0.458,0.509,0.402,0.554,0.812,0.577
67,Norman Powell,2020-21,27,TOT,NBA,4.7,69,58,2205,16.2,0.453,0.295,2,8.8,5.3,9.2,1.8,0.8,10.3,22.6,116,116,3.4,1.3,0.103,0.8,-0.7,0.1,1.2,7.2,15.2,4.4,8.3,2.8,6.9,3.9,4.5,0.7,2.9,3.6,2.1,1.4,0.3,2,2.6,21.2,0.477,0.532,0.411,0.57,0.871,0.618
68,Reggie Bullock,2020-21,29,NYK,NBA,4.6,65,64,1949,11.1,0.709,0.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,118,111,2.3,2.3,0.114,-0.8,0.6,-0.1,0.9,4.8,10.8,1.6,3.1,3.1,7.7,1,1.1,0.3,4,4.3,1.9,1,0.2,0.9,2.8,13.7,0.442,0.521,0.41,0.587,0.909,0.606
69,Danny Green,2020-21,33,PHI,NBA,4.6,69,69,1934,12.1,0.794,0.074,3.2,11.5,7.4,8.3,2.3,2.6,10.7,14,114,108,1.6,3.1,0.115,0.2,1.2,1.5,1.7,4.2,10.2,0.9,2.1,3.3,8.1,0.6,0.7,1,3.8,4.9,2.2,1.7,1,1.3,2.3,12.2,0.412,0.438,0.405,0.573,0.775,0.582
70,Draymond Green,2020-21,30,GSW,NBA,4.6,63,63,1982,13.3,0.332,0.232,3,20.9,12.1,36.4,2.5,2.3,31,13.1,110,106,1.2,3.4,0.112,-1.7,3.3,1.5,1.8,3,6.8,2.4,4.5,0.6,2.2,1.2,1.6,1,7,8,9.9,1.9,0.9,3.3,3.4,7.9,0.447,0.535,0.27,0.492,0.795,0.53
71,Jamal Murray,2020-21,23,DEN,NBA,4.6,48,48,1704,18.3,0.399,0.193,2.5,10.4,6.5,20.3,1.9,0.7,11.2,24.8,116,114,3.1,1.5,0.129,2.7,-1,1.7,1.6,8.2,17.2,5.4,10.4,2.8,6.9,2.9,3.3,0.8,3.4,4.2,5,1.4,0.3,2.3,2.1,22.1,0.477,0.523,0.408,0.559,0.869,0.592
72,Harrison Barnes,2020-21,28,SAC,NBA,4.5,58,58,2102,15.4,0.399,0.366,3.3,17.2,10.2,13,1,0.4,11.1,17.2,123,119,4,0.5,0.103,1.4,-1.6,-0.2,1,5.5,11,3.8,6.6,1.7,4.4,3.3,4,1.1,5.5,6.6,3.4,0.7,0.2,1.6,1.3,16,0.497,0.567,0.391,0.575,0.83,0.626
73,Bruce Brown,2020-21,24,BRK,NBA,4.4,65,37,1451,16.1,0.139,0.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,124,112,2.8,1.5,0.144,-0.4,0.1,-0.3,0.6,5.9,10.5,5.4,9.1,0.4,1.5,2.1,2.9,2.8,5.9,8.7,2.6,1.4,0.7,1.3,3.6,14.3,0.556,0.599,0.288,0.576,0.735,0.604
74,Dorian Finney-Smith,2020-21,27,DAL,NBA,4.4,60,60,1921,12,0.648,0.088,5.7,13,9.3,7.2,1.3,1.2,9,12.2,124,114,2.8,1.6,0.11,0.1,-0.1,-0.1,0.9,4.2,9,1.9,3.2,2.3,5.8,0.6,0.8,1.9,4.4,6.3,2,1,0.5,0.9,2.7,11.4,0.472,0.616,0.394,0.6,0.756,0.609
75,Tim Hardaway,2020-21,28,DAL,NBA,4.3,70,31,1985,15.7,0.581,0.191,1.1,11.5,6.4,9.8,0.8,0.5,6.1,23.4,116,116,3.2,1.2,0.105,1.9,-1.8,0.1,1.1,7.6,17,3.7,7.1,3.9,9.9,2.6,3.2,0.4,3.9,4.3,2.3,0.6,0.2,1.2,2.1,21.7,0.447,0.524,0.391,0.56,0.816,0.589
76,Kristaps Porziņģis,2020-21,25,DAL,NBA,4.3,43,43,1327,21.3,0.378,0.202,6.9,24.6,15.8,8.4,0.7,4.1,6.4,26.5,117,110,2.6,1.7,0.154,2.9,-0.8,2,1.4,9.1,19,6.4,11.8,2.7,7.2,3.3,3.8,2.3,8.3,10.6,1.9,0.6,1.6,1.4,3.2,24.1,0.476,0.536,0.376,0.547,0.855,0.582
77,Daniel Theis,2020-21,28,TOT,NBA,4.3,65,51,1601,15,0.326,0.236,6.5,18.3,12.4,9.5,1.2,3.3,11.4,15.6,120,111,2.4,1.8,0.128,-0.6,0.5,-0.2,0.7,5.8,10.6,4.6,7.2,1.1,3.5,1.7,2.5,2.1,6,8.1,2.5,0.9,1.3,1.5,3.8,14.3,0.541,0.646,0.322,0.593,0.673,0.609
78,Fred VanVleet,2020-21,26,TOR,NBA,4.3,52,52,1899,16.8,0.547,0.22,1.8,11.3,6.4,26.7,2.2,2,9.1,23.9,113,113,2.4,1.8,0.108,2.3,-0.1,2.2,2,6.5,16.6,3.1,7.5,3.3,9.1,3.2,3.7,0.6,3.6,4.2,6.3,1.7,0.7,1.8,2.3,19.5,0.389,0.416,0.366,0.489,0.885,0.534
79,Delon Wright,2020-21,28,TOT,NBA,4.3,63,39,1748,16.3,0.332,0.243,4.1,13.1,8.6,23,2.8,1.5,12.6,16.3,118,113,2.5,1.8,0.117,0.7,1.3,2,1.7,5,10.8,3.7,7.2,1.3,3.6,2.1,2.6,1.4,4.3,5.6,5.8,2.1,0.6,1.7,1.6,13.5,0.463,0.509,0.372,0.525,0.802,0.562
80,Miles Bridges,2020-21,22,CHO,NBA,4.2,66,19,1932,14.7,0.466,0.182,4.5,18,11.1,11.4,1.1,2.7,13.6,17.3,116,113,2.4,1.9,0.105,0.2,0,0.2,1,5.9,11.8,3.7,6.3,2.2,5.5,1.9,2.1,1.5,6,7.5,2.8,0.8,1,2,2.7,15.9,0.503,0.593,0.4,0.596,0.867,0.625
81,Malcolm Brogdon,2020-21,28,IND,NBA,4.2,56,56,1930,17.9,0.382,0.181,3.3,13.2,8.3,25.7,1.2,0.6,9.8,25.9,113,115,2.9,1.3,0.105,2.9,-1.4,1.5,1.7,8.2,18,5.5,11.1,2.7,6.9,2.8,3.3,1.1,4.3,5.4,6,0.9,0.3,2.1,2,21.8,0.453,0.493,0.388,0.527,0.864,0.561
82,Kentavious Caldwell-Pope,2020-21,27,LAL,NBA,4.2,67,67,1902,10.7,0.579,0.221,1.6,8.9,5.3,9.2,1.6,1.2,10.6,14.2,114,109,1.6,2.6,0.107,-1.5,0.6,-0.9,0.6,4.2,9.7,1.9,4.1,2.3,5.6,1.9,2.1,0.5,2.9,3.4,2.4,1.2,0.5,1.3,2.2,12.5,0.431,0.46,0.41,0.549,0.866,0.588
83,Brandon Clarke,2020-21,24,MEM,NBA,4.2,59,16,1415,17.3,0.156,0.228,7.2,17.5,12.3,9.5,2,3.2,5.7,17.2,119,109,2.2,2,0.142,0.3,1,1.3,1.2,6.5,12.5,6,10.6,0.5,2,2,2.9,2.5,5.9,8.3,2.4,1.5,1.3,0.8,2.1,15.5,0.517,0.565,0.26,0.537,0.69,0.56
84,Jordan Clarkson,2020-21,28,UTA,NBA,4.2,68,1,1818,17.1,0.557,0.134,2.9,12.7,8,15.3,1.6,0.4,9.2,29.7,109,110,1.7,2.5,0.111,1.9,-0.8,1.1,1.4,9.2,21.6,5,9.6,4.2,12,2.6,2.9,0.9,4.6,5.5,3.4,1.2,0.2,2.3,2.2,25.1,0.425,0.523,0.347,0.522,0.896,0.549
85,De'Aaron Fox,2020-21,23,SAC,NBA,4.2,58,58,2036,20.7,0.288,0.376,1.8,9.4,5.5,32.7,2.1,1.1,11.9,31,113,118,3.4,0.8,0.098,2.9,-1.5,1.4,1.7,9.4,19.6,7.5,14,1.8,5.7,5.3,7.4,0.6,3,3.6,7.4,1.5,0.5,3.1,3,25.8,0.477,0.539,0.322,0.523,0.719,0.565
86,Pascal Siakam,2020-21,26,TOR,NBA,4.2,56,56,2006,17.7,0.256,0.313,5,17.6,11.1,20.5,1.5,1.8,10.6,26.3,111,113,2.3,2,0.101,0.8,-0.4,0.4,1.2,7.9,17.4,6.6,12.9,1.3,4.5,4.5,5.4,1.7,5.6,7.3,4.5,1.2,0.7,2.4,3.1,21.6,0.455,0.509,0.297,0.493,0.827,0.547
87,RJ Barrett,2020-21,20,NYK,NBA,4.1,72,72,2511,13.4,0.292,0.26,3,14.8,8.9,13.8,1.1,0.8,10.5,23.4,106,110,0.9,3.1,0.078,-1,-0.5,-1.5,0.3,7,15.8,5.1,11.2,1.9,4.6,3.1,4.1,1,5.2,6.2,3.2,0.8,0.3,2.1,2.8,18.9,0.441,0.457,0.401,0.499,0.746,0.535
88,Jeff Green,2020-21,34,BRK,NBA,4.1,68,38,1835,13,0.472,0.304,2.2,13.1,7.9,7.8,0.9,1.3,8.2,15.6,122,116,2.9,1.2,0.107,0,-1,-1,0.5,5.1,10.4,3.1,5.5,2,4.9,2.5,3.2,0.7,4.5,5.2,2.1,0.7,0.5,1.1,2.4,14.8,0.492,0.564,0.412,0.59,0.776,0.624
89,Kyle Lowry,2020-21,34,TOR,NBA,4.1,46,46,1601,16.5,0.555,0.268,2.3,15.1,8.5,31.8,1.4,0.9,15.9,21.4,117,115,2.9,1.3,0.124,1.9,-0.7,1.2,1.3,5.9,13.5,2.9,6,3,7.5,3.2,3.6,0.8,4.8,5.6,7.7,1,0.3,2.9,3.2,17.9,0.436,0.487,0.396,0.546,0.875,0.593
90,Steven Adams,2020-21,27,NOP,NBA,4,58,58,1605,15.1,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,122,112,2.3,1.7,0.119,-0.3,-0.5,-0.8,0.5,4.2,6.9,4.2,6.8,0,0.1,1.3,3,4.8,6.7,11.5,2.5,1.2,0.9,1.7,2.5,9.8,0.614,0.62,0,0.614,0.444,0.596
91,Seth Curry,2020-21,30,PHI,NBA,4,57,57,1638,12.9,0.507,0.139,0.7,8.3,4.6,13.6,1.3,0.4,10,17.1,118,112,2.3,1.7,0.118,-0.1,-0.8,-0.9,0.5,5.7,12.2,2.9,6,2.8,6.2,1.5,1.7,0.2,2.8,3,3.4,1,0.2,1.4,2.1,15.7,0.467,0.485,0.45,0.582,0.896,0.607
92,Dwight Howard,2020-21,35,PHI,NBA,4,69,6,1196,17.8,0.066,0.693,17.8,35.3,26.7,7.2,1.2,4.7,22.1,18.2,113,102,1.3,2.6,0.159,-2.2,0.3,-1.9,0,5.4,9.2,5.2,8.6,0.2,0.6,3.7,6.4,5.7,11.8,17.5,1.8,0.9,1.9,3.4,6,14.6,0.587,0.611,0.25,0.596,0.576,0.61
93,Isaiah Stewart,2020-21,19,DET,NBA,4,68,14,1455,16.4,0.154,0.225,12,22.7,17.3,6.3,1.3,5.2,13,15.5,118,109,1.9,2.1,0.132,-1.6,0.4,-1.2,0.3,5.7,10.3,5.2,8.7,0.5,1.6,1.6,2.3,4,7.4,11.5,1.5,1,2.2,1.7,4.7,13.6,0.553,0.592,0.333,0.578,0.696,0.597
94,Bogdan Bogdanović,2020-21,28,ATL,NBA,3.9,44,27,1305,17.6,0.589,0.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,122,114,2.8,1.1,0.142,3.4,0.4,3.8,1.9,7.5,16,3.4,6.6,4.1,9.4,1.1,1.2,0.6,4,4.5,4.2,1.4,0.4,1.5,2.8,20.4,0.473,0.522,0.438,0.602,0.909,0.616
95,DeAndre Jordan,2020-21,32,BRK,NBA,3.9,57,43,1246,17.1,0.004,0.369,10.9,26.1,18.9,10.1,0.7,4.6,22.7,13.1,127,111,2.4,1.5,0.152,0,0.7,0.7,0.8,5.5,7.2,5.5,7.2,0,0,1.3,2.7,3.4,9,12.4,2.7,0.5,1.9,2.5,3.4,12.4,0.763,0.766,0,0.763,0.5,0.736
96,Andrew Wiggins,2020-21,25,GSW,NBA,3.9,71,71,2364,15,0.348,0.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,107,111,1.2,2.7,0.08,-0.1,-0.6,-0.7,0.8,7.5,15.8,5.4,10.3,2.1,5.5,2.5,3.5,1.2,3.9,5.2,2.5,1,1,1.9,2.4,19.7,0.477,0.529,0.38,0.543,0.714,0.568
97,Khem Birch,2020-21,28,TOT,NBA,3.8,67,22,1529,15.1,0.137,0.339,11.6,15.3,13.4,8.5,1.5,3.1,9.2,13.6,121,113,2.3,1.4,0.118,-1,-0.3,-1.3,0.3,4.5,9.1,4.2,7.8,0.3,1.2,2.2,3.1,4.1,5.1,9.2,2.1,1.1,1.2,1,2.7,11.5,0.497,0.537,0.25,0.514,0.705,0.552
98,Taj Gibson,2020-21,35,NYK,NBA,3.8,45,3,936,16,0.095,0.348,11.6,17.3,14.5,5.4,1.7,5,10.8,9.7,139,105,2.1,1.7,0.195,-0.8,2.2,1.4,0.8,4,6.3,3.8,5.7,0.1,0.6,1.6,2.2,4,6.1,10,1.4,1.2,2,0.9,4,9.7,0.627,0.671,0.2,0.636,0.727,0.661
99,Doug McDermott,2020-21,29,IND,NBA,3.8,66,29,1619,15.6,0.43,0.147,4,10.7,7.4,7.8,0.6,0.3,7,20,121,118,3.1,0.7,0.112,1.5,-2.1,-0.5,0.6,7.8,14.6,5.3,8.3,2.4,6.3,1.8,2.1,1.3,3.5,4.8,1.9,0.4,0.1,1.2,2.6,19.7,0.532,0.641,0.388,0.616,0.816,0.635
100,Dwight Powell,2020-21,29,DAL,NBA,3.8,58,19,966,16.8,0.108,0.639,9.2,17.4,13.3,8.9,1.8,2.9,13.9,13.2,136,110,2.6,1.2,0.188,-0.8,1.5,0.7,0.7,4.6,7.4,4.4,6.6,0.2,0.8,3.7,4.7,3.1,5.9,9,2.4,1.4,1.1,1.5,5.2,13.1,0.619,0.665,0.238,0.631,0.782,0.688
101,Dennis Schröder,2020-21,27,LAL,NBA,3.8,61,61,1956,13.8,0.279,0.32,1.7,10.3,6.1,26.9,1.7,0.6,15.8,22.9,107,109,1,2.7,0.093,-1.1,0,-1.1,0.4,6.2,14.2,4.9,10.2,1.3,4,3.8,4.5,0.6,3.4,3.9,6.5,1.3,0.2,3,3,17.6,0.437,0.476,0.335,0.484,0.848,0.543
102,Jae'Sean Tate,2020-21,25,HOU,NBA,3.8,70,58,2043,13.8,0.312,0.235,6.6,13.2,9.8,13.2,2,1.6,12.4,16.4,114,115,2.2,1.6,0.088,-1.6,0.4,-1.2,0.4,5.5,10.9,4.4,7.5,1,3.4,1.8,2.6,2.3,4.2,6.5,3.1,1.5,0.6,1.7,3.9,13.8,0.506,0.595,0.308,0.554,0.694,0.576
103,Robert Covington,2020-21,30,POR,NBA,3.7,70,70,2243,11.2,0.699,0.122,2.8,19.8,11.1,6.8,2.2,3.4,10.7,11.5,113,112,1.4,2.4,0.08,-1.5,1.2,-0.3,1,3.3,8.3,1.1,2.5,2.2,5.8,0.8,1,1,6.6,7.6,1.9,1.6,1.4,1,3.2,9.7,0.401,0.451,0.379,0.533,0.806,0.553
104,Anthony Davis,2020-21,27,LAL,NBA,3.7,36,36,1162,22.1,0.163,0.349,6,21.5,13.8,16.4,1.9,4.5,9.5,29.2,110,104,1.3,2.4,0.152,2.9,1.6,4.5,1.9,9.5,19.2,8.6,16.1,0.8,3.1,5,6.7,1.9,7,9,3.5,1.4,1.9,2.3,1.9,24.7,0.491,0.536,0.26,0.512,0.738,0.556
105,Danilo Gallinari,2020-21,32,ATL,NBA,3.7,51,4,1222,16.3,0.535,0.366,1.6,17,9.5,9.2,1.2,0.7,7.2,21.2,123,114,2.7,1,0.146,1.6,-0.8,0.9,0.9,6.2,14.3,3.1,6.7,3.1,7.7,4.9,5.3,0.5,5.9,6.4,2.3,0.9,0.3,1.3,3.2,20.4,0.434,0.466,0.406,0.542,0.925,0.613
106,Reggie Jackson,2020-21,30,LAC,NBA,3.7,67,43,1544,14.2,0.482,0.14,1.8,11.9,7,19,1.3,0.4,10.6,19.9,116,113,2.3,1.4,0.115,0.5,-0.5,0.1,0.8,6.3,14.1,3.4,7.3,2.9,6.8,1.6,2,0.6,4,4.6,4.9,1,0.2,1.8,3.1,17.2,0.45,0.465,0.433,0.554,0.817,0.576
107,Robin Lopez,2020-21,32,WAS,NBA,3.7,71,9,1354,16.7,0.042,0.322,11.1,10.2,10.6,5.9,0.5,2.7,13.4,17.1,124,116,2.8,0.9,0.131,0.3,-1.4,-1.1,0.3,6.9,10.9,6.7,10.4,0.1,0.5,2.5,3.5,3.6,3.3,6.9,1.4,0.4,1.1,1.9,2.8,16.4,0.633,0.649,0.278,0.639,0.723,0.661
108,Terance Mann,2020-21,24,LAC,NBA,3.7,67,10,1263,13.8,0.26,0.269,5.1,16.1,10.8,11.3,1.1,0.9,9.3,15.1,125,112,2.4,1.3,0.141,-0.5,0.4,-0.1,0.6,5.2,10.3,4.1,7.6,1.1,2.7,2.3,2.8,1.6,5.5,7.1,3.1,0.9,0.4,1.2,3.7,13.9,0.509,0.541,0.418,0.563,0.83,0.603
109,Duncan Robinson,2020-21,26,MIA,NBA,3.7,72,72,2262,11,0.855,0.105,0.4,12.1,6.3,8.3,0.9,0.9,9.7,16.6,113,114,1.9,1.8,0.079,-0.2,-0.9,-1.1,0.5,5.2,11.8,1.1,1.7,4.1,10.1,1,1.2,0.1,4,4.1,2.1,0.7,0.3,1.3,3,15.5,0.439,0.625,0.408,0.614,0.827,0.628
110,Russell Westbrook,2020-21,32,WAS,NBA,3.7,65,65,2369,19.5,0.221,0.334,4.9,28.6,16.8,48.6,1.7,0.8,18,30.2,105,110,0.5,3.2,0.075,2.5,0.8,3.4,3.2,7.9,18.1,6.7,14.1,1.3,4,4,6,1.6,9.4,10.9,11.1,1.3,0.3,4.6,2.8,21.1,0.439,0.475,0.315,0.474,0.656,0.509
111,Donte DiVincenzo,2020-21,24,MIL,NBA,3.6,66,66,1814,13,0.574,0.118,4.9,16.7,11,14.2,1.9,0.7,12.5,16.7,112,112,1.5,2.1,0.095,-0.3,0.2,-0.1,0.9,4.9,11.7,2.4,5,2.5,6.7,1,1.4,1.6,5.8,7.4,3.9,1.4,0.3,1.8,2.2,13.4,0.42,0.475,0.379,0.528,0.718,0.542
112,Kevin Huerter,2020-21,22,ATL,NBA,3.6,69,49,2126,12.2,0.528,0.088,2,9.7,6,16.3,1.9,0.7,9.4,17.2,112,115,1.9,1.7,0.08,-0.7,0.1,-0.6,0.8,5.5,12.7,3.1,6,2.4,6.7,0.9,1.1,0.7,3.3,4,4.2,1.4,0.3,1.4,2.9,14.3,0.432,0.51,0.363,0.528,0.781,0.541
113,Marcus Morris,2020-21,31,LAC,NBA,3.6,57,29,1502,14.5,0.507,0.152,2.7,14.5,8.8,5.6,1.1,0.9,8.4,20.1,117,113,2.1,1.5,0.115,0.9,-1,-0.2,0.7,6.8,14.4,3.4,7.1,3.5,7.3,1.8,2.2,0.9,4.9,5.8,1.4,0.8,0.4,1.4,2.9,18.9,0.473,0.472,0.473,0.592,0.82,0.614
114,Cameron Payne,2020-21,26,PHO,NBA,3.6,60,1,1079,17.4,0.42,0.142,1.7,13.2,7.6,28.1,1.6,1.3,12.5,19.8,122,112,2.4,1.2,0.158,1.7,0.9,2.6,1.3,6.6,13.6,4,7.9,2.5,5.7,1.7,1.9,0.5,4.4,4.9,7.4,1.2,0.5,2.1,3.3,17.3,0.484,0.515,0.44,0.576,0.893,0.602
115,Pat Connaughton,2020-21,28,MIL,NBA,3.5,69,4,1575,11.3,0.703,0.103,4.4,17.3,11.1,6.3,1.5,1.3,7.5,11.6,121,112,1.8,1.7,0.108,-0.4,0.1,-0.4,0.6,3.8,8.7,1.5,2.6,2.3,6.1,0.7,0.9,1.4,6,7.4,1.8,1.1,0.5,0.7,2.2,10.5,0.434,0.583,0.371,0.565,0.775,0.578
116,Daniel Gafford,2020-21,22,TOT,NBA,3.5,54,11,791,22.2,0,0.48,12.9,18.6,15.8,5.3,1.5,8.1,13.1,16.7,131,107,2.1,1.3,0.209,0.9,1.6,2.5,0.9,6.9,10.1,6.9,10.1,0,0,3.2,4.8,4.2,6.1,10.3,1.3,1.2,3.4,1.8,4.4,17,0.684,0.684,,0.684,0.667,0.697
117,Shai Gilgeous-Alexander,2020-21,22,OKC,NBA,3.5,35,35,1180,21.6,0.301,0.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,118,115,2.7,0.8,0.143,3.8,0,3.8,1.7,8.7,17.1,6.5,11.9,2.1,5.1,5.6,6.9,0.6,4.4,5,6.3,0.8,0.7,3.2,2.1,25.1,0.508,0.547,0.418,0.571,0.808,0.623
118,Tyrese Haliburton,2020-21,20,SAC,NBA,3.5,58,20,1746,16.2,0.478,0.09,2.4,8.6,5.5,24.6,2.1,1.4,12.5,18.1,118,118,2.8,0.7,0.096,1.9,-0.9,1.1,1.4,6,12.8,3.5,6.7,2.5,6.1,1,1.2,0.8,2.8,3.6,6.4,1.6,0.6,1.9,1.7,15.5,0.472,0.529,0.409,0.569,0.857,0.585
119,Jaxson Hayes,2020-21,20,NOP,NBA,3.5,60,3,964,19.1,0.05,0.429,10.4,18.6,14.5,5.2,1.2,3.7,10.5,16.2,132,112,2.6,1,0.176,0.6,-0.1,0.5,0.6,6.5,10.4,6.3,9.9,0.2,0.5,3.5,4.5,3.4,6.2,9.6,1.3,0.9,1.4,1.5,3.8,16.8,0.625,0.635,0.429,0.636,0.775,0.675
120,Gordon Hayward,2020-21,30,CHO,NBA,3.5,44,44,1496,17.6,0.312,0.281,2.6,16.3,9.3,19.5,1.7,0.9,11,23.9,114,113,2.2,1.4,0.114,1.9,-0.5,1.4,1.3,7.6,16.1,5.5,11.1,2.1,5,3.8,4.5,0.9,5.4,6.3,4.4,1.3,0.3,2.2,1.8,21.1,0.473,0.499,0.415,0.537,0.843,0.584
121,Collin Sexton,2020-21,22,CLE,NBA,3.5,60,60,2115,18,0.239,0.347,3,7,4.9,22.6,1.4,0.4,11.6,29.7,111,118,2.6,0.9,0.08,1.9,-1.9,0,1,9.2,19.3,7.5,14.7,1.7,4.6,5.5,6.7,1,2.3,3.3,4.6,1.1,0.2,2.9,2.7,25.5,0.475,0.508,0.371,0.519,0.815,0.573
122,Wendell Carter,2020-21,21,TOT,NBA,3.4,54,44,1375,16.7,0.112,0.392,10.2,24.6,17.4,11.2,1.2,2.7,12.7,19.3,114,111,1.7,1.7,0.118,-1,-0.5,-1.5,0.1,6.1,12.1,5.7,10.8,0.4,1.4,3.5,4.7,3.5,8.2,11.7,2.8,0.9,1.1,2.1,3.9,16,0.503,0.53,0.294,0.52,0.732,0.566
123,Devonte' Graham,2020-21,25,CHO,NBA,3.4,55,44,1659,14.6,0.713,0.236,1.4,8.4,4.8,26.3,1.4,0.4,10.2,21.4,115,116,2.5,0.9,0.099,1.6,-1.1,0.5,1,5.6,14.8,1.6,4.2,4,10.5,2.9,3.5,0.5,2.8,3.3,6.5,1.1,0.1,1.9,1.7,18,0.377,0.38,0.375,0.51,0.842,0.552
124,Kevon Looney,2020-21,24,GSW,NBA,3.4,61,34,1161,11.9,0.086,0.244,10.9,18.6,14.8,13.4,0.8,1.7,14.5,9.4,130,111,2,1.4,0.139,-1.9,0.5,-1.5,0.2,3.3,6,3.2,5.5,0.1,0.5,0.9,1.5,3.6,6.2,9.8,3.6,0.6,0.7,1.1,4.1,7.6,0.548,0.578,0.235,0.558,0.646,0.575
