,,,,,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,Per 75 Possesions,,,,,,,,,,,,,,,,,,,,Shooting,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
15,Julius Randle,2020-21,26,NYK,NBA,7.8,71,71,2667,19.7,0.294,0.325,3.5,25.7,14.7,27.2,1.2,0.6,13.8,29.3,111,107,3.4,4.3,0.14,3,0.7,3.7,3.8,8.5,18.6,6.2,13.1,2.3,5.5,4.9,6,1.2,9,10.2,6,0.9,0.3,3.4,3.2,24.1,0.456,0.474,0.411,0.516,0.811,0.567
16,Jonas Valančiūnas,2020-21,28,MEM,NBA,7.8,62,61,1755,24.4,0.077,0.273,15.1,31.9,23.4,10,1,2.9,10.7,22.4,126,108,5.1,2.6,0.213,3.1,-0.4,2.7,2.1,9,15.2,8.6,14,0.4,1.2,3.2,4.1,5.2,10.7,15.9,2.3,0.7,1.2,2,3.7,21.6,0.592,0.611,0.368,0.606,0.773,0.636
17,Luka Dončić,2020-21,21,DAL,NBA,7.7,66,66,2262,25.3,0.406,0.349,2.7,22.9,12.8,44.1,1.4,1.5,15.3,36,114,111,5.1,2.6,0.163,6.1,0.6,6.7,5,10.6,22.1,7.4,13.1,3.1,9,5.6,7.7,0.9,7.7,8.6,9.3,1,0.6,4.6,2.5,29.9,0.479,0.567,0.35,0.55,0.73,0.587
18,Enes Kanter,2020-21,28,POR,NBA,7.5,72,35,1758,22.4,0.007,0.292,16.8,31.9,24.2,7.2,0.9,2.4,11,17.4,133,113,5.7,1.7,0.204,2,-1.8,0.2,1,7.1,11.7,7,11.6,0,0.1,2.6,3.4,5.9,10.6,16.5,1.7,0.7,1,1.6,3.5,16.8,0.604,0.607,0.25,0.605,0.774,0.636
19,DeMar DeRozan,2020-21,31,SAS,NBA,7.4,61,61,2056,22,0.08,0.478,2,11.6,6.7,32,1.3,0.6,9.7,26.1,122,115,5.9,1.5,0.172,3.4,-0.2,3.2,2.7,8.1,16.3,7.7,15,0.3,1.3,6.9,7.8,0.7,3.9,4.6,7.5,1,0.3,2.1,2.3,23.3,0.495,0.515,0.257,0.505,0.88,0.591
20,Kyrie Irving,2020-21,28,BRK,NBA,7.4,54,54,1886,24.4,0.348,0.201,3.2,11.4,7.5,28.6,1.9,1.7,9.9,30.4,121,114,5.8,1.6,0.189,5.7,-0.4,5.3,3.5,10.5,20.8,7.6,13.6,2.9,7.3,3.9,4.2,1,3.9,4.9,6.2,1.5,0.7,2.5,2.7,27.8,0.506,0.561,0.402,0.576,0.922,0.614
21,Montrezl Harrell,2020-21,27,LAL,NBA,7.3,69,1,1580,22.7,0.017,0.425,11.3,19.1,15.2,7.7,1.4,2.8,9.4,21.7,127,106,4.5,2.7,0.221,2.4,0.3,2.7,1.9,8.7,13.9,8.7,13.7,0,0.2,4.2,5.9,3.6,6.2,9.9,1.7,1.1,1.1,1.7,3,21.5,0.622,0.632,0,0.622,0.707,0.65
22,Trae Young,2020-21,22,ATL,NBA,7.2,63,63,2125,23,0.357,0.491,2,10.5,6.3,45.5,1.2,0.5,16.2,33,117,116,5.9,1.3,0.163,5.4,-1.7,3.6,3,8.5,19.3,6.1,12.4,2.4,6.9,8.4,9.5,0.7,3.6,4.3,10.3,0.9,0.2,4.5,1.9,27.7,0.438,0.491,0.343,0.499,0.886,0.589
23,Tobias Harris,2020-21,28,PHI,NBA,7.1,62,62,2014,20,0.225,0.221,3.5,19.2,11.5,17.6,1.3,2.3,9.5,23.9,118,108,4.1,3.1,0.17,2.8,0.5,3.4,2.7,8.5,16.6,7,12.9,1.5,3.7,3.3,3.7,1.1,6.4,7.5,4,1,0.9,1.9,2.1,21.7,0.512,0.546,0.394,0.556,0.892,0.597
24,James Harden,2020-21,31,TOT,NBA,7,44,43,1609,24.5,0.455,0.44,2.5,20.6,11.9,44.4,1.6,1.8,16.8,28.4,122,112,5.3,1.7,0.208,6.2,0.6,6.8,3.5,7.7,16.4,5,9,2.7,7.5,6.2,7.2,0.8,7,7.8,10.6,1.2,0.7,4,2.2,24.3,0.466,0.553,0.362,0.548,0.861,0.618
25,Joe Ingles,2020-21,33,UTA,NBA,7,67,30,1867,15.9,0.722,0.16,1.6,11.8,6.9,24,1.2,0.5,16.3,16.6,129,111,4.7,2.3,0.18,2.7,0.7,3.4,2.5,5.4,11,1.8,3.1,3.6,7.9,1.5,1.8,0.5,4.2,4.8,6.2,0.9,0.2,2.3,2.3,15.8,0.489,0.59,0.451,0.652,0.844,0.672
26,Michael Porter,2020-21,22,DEN,NBA,6.9,61,54,1912,20.6,0.468,0.164,5.4,20.9,13.2,5.6,1,2.8,8.1,21.7,125,112,4.8,2.1,0.173,3.9,-1,3,2.4,8.6,15.8,5.3,8.4,3.3,7.4,2.1,2.6,1.8,6.9,8.6,1.4,0.8,1,1.5,2.4,22.5,0.542,0.628,0.445,0.646,0.791,0.663
