"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"James Harden","HOU",81,2981,565,1380,315,250,246,52,17,131,119
"Andrew Wiggins","MIN",82,2969,170,380,130,40,72,31,27,11,29
"Trevor Ariza","HOU",82,2930,209,510,117,92,80,27,10,44,48
"Damian Lillard","POR",82,2925,507,1176,345,162,171,47,127,45,117
"Chris Paul","LAC",82,2858,838,1908,606,232,328,58,220,76,156
"John Wall","WAS",79,2837,792,1792,584,208,339,67,178,72,136
"DeAndre Jordan","LAC",82,2821,61,144,39,22,19,3,17,4,18
"Eric Bledsoe","PHX",81,2800,493,1143,336,157,194,60,82,50,107
"Joe Johnson","BKN",80,2791,292,673,203,89,100,42,61,40,49
"Kyrie Irving","CLE",75,2730,389,907,260,129,185,37,38,44,85
"Monta Ellis","DAL",80,2699,329,790,197,132,140,14,43,29,103
"Tyreke Evans","NOP",79,2690,521,1226,337,184,195,45,97,56,128
"Marc Gasol","MEM",81,2687,307,687,234,73,155,33,46,28,45
"Pau Gasol","CHI",78,2681,210,505,125,85,85,22,18,21,64
"Ben McLemore","SAC",82,2670,140,302,118,22,72,13,33,11,11
"Ty Lawson","DEN",75,2666,720,1665,495,225,287,95,113,65,160
"Goran Dragic","MIA",78,2640,350,812,238,112,146,36,56,43,69
"Gordon Hayward","UTA",76,2618,313,743,196,117,133,26,37,43,74
"Stephen Curry","GSW",80,2613,619,1422,435,184,281,84,70,69,115
"Kentavious Caldwell-Pope","DET",82,2587,109,253,74,35,46,14,14,10,25
"Markieff Morris","PHX",82,2581,192,447,129,63,90,21,18,30,33
"Victor Oladipo","ORL",72,2573,295,673,212,83,98,44,70,31,52
"Giannis Antetokounmpo","MIL",81,2541,207,487,134,73,81,23,30,30,43
"Kevin Love","CLE",75,2532,168,366,138,30,98,26,14,9,21
"Nikola Vucevic","ORL",74,2529,147,357,84,63,60,13,11,19,44
"Jimmy Butler","CHI",65,2514,212,492,144,68,67,23,54,25,43
"LaMarcus Aldridge","POR",71,2512,124,308,64,60,40,8,16,15,45
"Andre Drummond","DET",82,2502,55,127,38,17,29,6,3,4,13
"Arron Afflalo","POR",78,2502,129,303,84,45,53,17,14,15,30
"LeBron James","CLE",69,2494,511,1230,303,208,207,48,48,82,126
"Draymond Green","GSW",79,2490,291,698,175,116,109,25,41,40,76
"Elfrid Payton","ORL",82,2489,533,1202,397,136,202,73,122,47,89
"Wilson Chandler","DEN",78,2471,134,322,80,54,50,13,17,16,38
"Anthony Davis","NOP",68,2455,149,354,93,56,66,9,18,17,39
"Jeff Green","MEM",78,2455,134,303,99,35,44,27,28,15,20
"Klay Thompson","GSW",77,2455,222,505,161,61,108,29,24,20,41
"Marcin Gortat","WAS",82,2453,97,230,61,36,23,6,32,14,22
"Thaddeus Young","BKN",76,2434,173,385,134,39,78,23,33,15,24
"Avery Bradley","BOS",77,2428,135,293,112,23,55,23,34,7,16
"Luol Deng","MIA",72,2421,139,321,96,43,52,24,20,15,28
"Kyle Korver","ATL",75,2418,196,426,162,34,103,25,34,11,23
"Kyle Lowry","TOR",70,2415,473,1080,339,134,200,81,58,47,87
"JJ Redick","LAC",78,2409,137,317,94,43,66,11,17,14,29
