"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"LeBron James","CLE",80,3384,577,1234,497,80,223,88,186,32,48
"Stephon Marbury","NYK",82,3295,668,1478,526,142,182,78,266,50,92
"Gilbert Arenas","WAS",80,3279,411,903,330,81,157,65,108,23,58
"Joe Johnson","PHX",82,3238,291,709,164,127,92,19,53,32,95
"Tracy McGrady","HOU",78,3191,448,1026,318,130,138,70,110,57,73
"Allen Iverson","PHI",75,3176,596,1336,452,144,262,46,144,53,91
"Shawn Marion","PHX",81,3144,154,373,89,65,58,10,21,24,41
"Kevin Garnett","MIN",82,3121,466,1039,359,107,124,63,172,39,68
"Mike Bibby","SAC",80,3091,541,1184,439,102,171,41,227,32,70
"Ray Allen","SEA",78,3069,289,678,189,100,113,31,45,40,60
"Tayshaun Prince","DET",82,3044,247,543,198,49,86,35,77,16,33
"Dirk Nowitzki","DAL",78,3028,240,532,188,52,111,31,46,20,32
"Chris Bosh","TOR",81,3014,153,373,86,67,49,9,28,22,45
"Elton Brand","LAC",81,3005,208,441,183,25,61,26,96,11,14
"Dwyane Wade","MIA",77,2978,520,1197,363,157,205,31,127,61,96
"Steve Francis","ORL",78,2975,547,1196,445,102,251,54,140,24,78
"Antoine Walker","BOS",77,2966,265,574,221,44,143,12,66,15,29
"Paul Pierce","BOS",82,2964,348,782,262,86,152,37,73,28,58
"Richard Hamilton","DET",76,2937,372,804,312,60,174,41,97,26,34
"Chucky Atkins","LAL",82,2912,358,804,270,88,161,41,68,21,67
"Desmond Mason","MIL",80,2885,217,473,178,39,72,38,68,16,23
"Amar'e Stoudemire","PHX",80,2885,131,319,74,57,42,13,19,16,41
"Chauncey Billups","DET",80,2874,464,1010,382,82,164,81,137,26,56
"Kurt Thomas","NYK",80,2860,160,375,105,55,47,16,42,21,34
"Michael Redd","MIL",75,2852,172,369,147,25,70,26,51,6,19
"Andre Miller","DEN",82,2849,569,1209,498,71,327,29,142,25,46
"Quentin Richardson","PHX",79,2845,158,368,106,52,68,18,20,28,24
"Vince Carter","NJN",77,2838,327,741,240,87,93,27,120,36,51
"Eddie Jones","MIA",80,2837,212,465,171,41,88,27,56,13,28
"P.J. Brown","NOH",82,2826,178,390,144,34,51,16,77,8,26
"Bobby Simmons","LAC",75,2811,205,432,183,22,71,63,49,5,17
"Kirk Hinrich","CHI",77,2798,494,1103,379,115,176,82,121,38,77
"David Wesley","HOU",80,2777,265,589,206,59,79,46,81,16,43
"Damon Stoudamire","POR",81,2769,458,991,383,75,211,58,114,24,51
"Caron Butler","LAL",77,2742,146,345,93,53,48,17,28,14,39
"Tony Parker","SAS",80,2736,490,1131,339,151,146,65,128,83,68
"Rafer Alston","TOR",80,2723,514,1172,370,144,139,59,172,76,68
"Jason Richardson","GSW",72,2720,281,635,208,73,105,27,76,27,46
"Jalen Rose","TOR",81,2714,209,489,138,71,74,18,46,30,41
"Rashard Lewis","SEA",71,2702,94,221,61,33,26,10,25,5,28
"Rasheed Wallace","DET",79,2696,142,307,119,23,69,20,30,9,14
"Ricky Davis","BOS",82,2692,246,556,182,64,100,26,56,25,39
"Kobe Bryant","LAL",66,2690,398,950,244,154,143,30,71,51,103
"Jamal Crawford","NYK",70,2685,302,659,247,55,95,27,125,21,34
"Andre Iguodala","PHI",82,2681,246,554,184,62,86,35,63,20,42
"Dwight Howard","ORL",82,2679,75,160,65,10,31,9,25,1,9
"Udonis Haslem","MIA",80,2678,108,234,90,18,62,14,14,5,13
"Ben Wallace","DET",74,2674,123,277,92,31,50,20,22,9,22
"Kyle Korver","PHI",82,2667,182,387,159,23,84,32,43,8,15
"Jeff McInnis","CLE",76,2651,391,812,361,30,164,61,136,12,18
"Bruce Bowen","SAS",82,2623,126,296,82,44,40,18,24,14,30
"Zydrunas Ilgauskas","CLE",78,2616,100,223,77,23,31,18,28,1,22
"Carmelo Anthony","DEN",75,2610,194,402,180,14,119,17,44,8,6
"Antawn Jamison","WAS",68,2609,154,349,113,41,65,11,37,8,33
"Emeka Okafor","CHA",73,2600,64,144,48,16,19,7,22,5,11
"Matt Harpring","UTA",78,2585,142,302,124,18,51,11,62,4,14
"Damon Jones","MIA",82,2578,351,749,304,47,148,50,106,10,37
"Luke Ridnour","SEA",82,2574,483,1171,278,205,139,56,83,49,156
"Mike Dunleavy","GSW",79,2569,203,461,148,55,80,12,56,21,34
"Steve Nash","PHX",75,2569,861,2006,577,284,399,75,103,113,171
"Wally Szczerbiak","MIN",81,2567,191,424,149,42,56,35,58,12,30
"Gary Payton","BOS",77,2551,469,1039,368,101,183,45,140,38,63
"Al Harrington","ATL",66,2547,208,463,161,47,91,16,54,11,36
"Jason Collins","NJN",80,2546,105,229,86,19,25,10,51,6,13
"Peja Stojakovic","SAC",66,2539,138,303,111,27,32,15,64,10,17
"Drew Gooden","CLE",82,2525,130,277,113,17,73,13,27,2,15
"Morris Peterson","TOR",82,2520,169,396,111,58,47,22,42,37,21
"Shane Battier","MEM",80,2519,126,293,85,41,41,14,30,17,24
"Shaquille O'Neal","MIA",73,2498,200,469,131,69,102,3,26,6,63
"Yao Ming","HOU",80,2460,61,142,41,20,18,7,16,6,14
"Jason Kidd","NJN",66,2450,545,1178,457,88,186,79,192,21,67
"Latrell Sprewell","MIN",80,2448,179,377,160,19,55,48,57,3,16
"Corey Maggette","LAC",66,2447,225,483,192,33,73,49,70,16,17
"Josh Howard","DAL",76,2444,109,243,84,25,27,14,43,5,20
"Jason Terry","DAL",80,2398,429,949,338,91,150,45,143,21,70
"Cuttino Mobley","SAC",66,2394,188,408,156,32,69,18,69,12,20
"Troy Murphy","GSW",70,2382,97,226,65,32,32,7,26,6,26
"Chris Webber","PHI",67,2373,318,720,234,84,114,28,92,28,56
