"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"LeBron James","CLE",82,3026,747,1838,403,344,285,55,63,130,214
"Khris Middleton","MIL",82,2982,328,758,226,102,174,31,21,38,64
"Andrew Wiggins","MIN",82,2979,160,381,99,61,56,22,21,23,38
"Bradley Beal","WAS",82,2977,373,878,241,132,121,75,45,37,95
"Jrue Holiday","NOP",81,2927,486,1140,318,168,208,70,40,49,119
"CJ McCollum","POR",81,2923,272,649,167,105,108,29,30,32,73
"Karl-Anthony Towns","MIN",82,2918,199,456,141,58,81,31,29,18,40
"Russell Westbrook","OKC",80,2914,820,1950,510,310,371,83,56,86,224
"Paul George","OKC",79,2891,263,626,163,100,112,29,22,40,60
"Giannis Antetokounmpo","MIL",75,2756,361,894,189,172,122,34,33,59,113
"Kemba Walker","CHA",80,2736,444,1035,297,147,171,66,60,33,114
"Ben Simmons","PHI",81,2732,661,1624,359,302,250,52,57,46,256
"Anthony Davis","NOP",75,2727,174,423,99,75,59,27,13,23,52
"Taj Gibson","MIN",82,2727,99,237,60,39,35,10,15,9,30
"DeMar DeRozan","TOR",80,2712,417,1035,216,201,136,54,26,56,145
"Josh Richardson","MIA",81,2689,231,550,143,88,96,28,19,26,62
"Will Barton","DEN",81,2683,331,782,211,120,151,39,21,26,94
"Damian Lillard","POR",73,2670,481,1110,333,148,219,75,39,40,108
"Tobias Harris","LAC",80,2668,192,473,103,89,76,16,11,30,59
"Donovan Mitchell","UTA",79,2638,291,712,161,130,123,19,19,53,77
"Harrison Barnes","DAL",77,2634,152,391,65,87,38,12,15,23,64
"Andre Drummond","DET",78,2625,237,526,185,52,94,44,47,12,40
"Thaddeus Young","IND",81,2607,152,367,89,63,59,11,19,25,38
"Lou Williams","LAC",79,2589,417,929,322,95,264,41,17,34,61
"E'Twaun Moore","NOP",82,2586,187,430,131,56,80,34,17,16,40
"Joe Ingles","UTA",82,2579,392,886,290,102,210,44,36,41,61
"Jamal Murray","DEN",81,2565,274,653,169,105,91,44,34,17,88
"Victor Oladipo","IND",75,2552,323,751,218,105,140,31,47,33,72
"James Harden","HOU",72,2551,630,1501,389,241,359,16,14,76,165
"Robert Covington","PHI",80,2531,156,367,101,55,73,15,13,14,41
"Kyle Lowry","TOR",78,2510,537,1209,402,135,268,76,58,46,89
"LaMarcus Aldridge","SAS",75,2509,152,373,83,69,35,19,29,17,52
"Klay Thompson","GSW",73,2504,185,412,143,42,105,23,15,12,30
"Carmelo Anthony","OKC",78,2501,103,262,47,56,33,4,10,21,35
"Steven Adams","OKC",76,2487,88,213,51,37,32,6,13,11,26
"Bojan Bogdanovic","IND",80,2464,119,278,79,40,47,13,19,13,27
"Taurean Prince","ATL",82,2464,214,504,138,76,94,20,24,43,33
"Dwight Howard","CHA",81,2463,105,250,65,40,33,11,21,6,34
"Kentavious Caldwell-Pope","LAL",74,2458,162,378,108,54,83,17,8,11,43
"Jayson Tatum","BOS",80,2443,128,317,67,61,37,19,11,17,44
"Nikola Jokic","DEN",75,2443,458,1062,312,146,221,67,24,30,116
"Otto Porter Jr.","WAS",77,2432,157,365,106,51,50,41,15,11,40
"DeAndre Jordan","LAC",77,2424,117,270,81,36,46,11,24,10,26
"Marc Gasol","MEM",73,2408,305,741,174,131,126,16,32,33,98
"Kyle Kuzma","LAL",77,2401,141,331,92,49,79,7,6,13,36
"Goran Dragic","MIA",75,2378,359,845,232,127,155,50,27,52,75
"Dillon Brooks","MEM",82,2350,135,313,92,43,50,14,28,11,32
"Wilson Chandler","DEN",74,2346,159,401,76,83,47,20,9,33,50
"Kevin Durant","GSW",68,2325,366,863,235,131,166,32,37,27,104
"Eric Bledsoe","MIL",74,2322,370,840,270,100,183,47,40,36,64
"Jeff Teague","MIN",70,2311,492,1101,375,117,212,96,67,40,77
"Dario Saric","PHI",78,2310,202,476,130,72,91,23,16,10,62
"Courtney Lee","NYK",76,2310,180,413,127,53,68,31,28,9,44
"Spencer Dinwiddie","BKN",80,2306,524,1275,297,227,209,70,18,68,159
"Gary Harris","DEN",67,2304,194,469,113,81,77,25,11,14,67
"Draymond Green","GSW",70,2287,508,1165,359,149,203,55,101,33,116
"Yogi Ferrell","DAL",82,2281,201,492,111,90,58,26,27,25,65
"PJ Tucker","HOU",82,2281,77,190,41,36,36,2,3,11,25
"Al Horford","BOS",72,2277,339,824,193,146,117,30,46,43,103
"Trevor Ariza","HOU",67,2269,105,269,46,59,39,5,2,30,29
"Justin Holiday","CHI",72,2265,153,351,108,45,60,28,20,11,34
"Ricky Rubio","UTA",77,2254,410,978,252,158,190,36,26,72,86
"JR Smith","CLE",80,2244,141,345,78,63,61,6,11,28,35
"Kelly Oubre Jr.","WAS",81,2231,98,229,65,33,35,15,15,5,28
"Cory Joseph","IND",82,2210,260,610,170,90,84,35,51,23,67
"Allen Crabbe","BKN",75,2192,117,277,74,43,53,16,5,11,32
"Julius Randle","LAL",82,2190,210,519,111,99,76,17,18,22,77
"DeMarre Carroll","BKN",73,2180,147,362,79,68,50,20,9,18,50
"Bogdan Bogdanovic","SAC",78,2175,258,600,174,84,109,34,31,18,66
"Jimmy Butler","MIN",59,2164,288,650,214,74,118,47,49,22,52
"Eric Gordon","HOU",69,2154,154,384,78,76,64,7,7,38,38
"Derrick Favors","UTA",77,2153,102,254,52,50,36,6,10,16,34
"Jaylen Brown","BOS",70,2152,114,268,74,40,38,16,20,16,24
"T.J. Warren","PHX",65,2142,85,208,47,38,28,15,4,8,30
"Wesley Matthews","DAL",63,2131,172,429,87,85,57,9,21,16,69
"JJ Redick","PHI",70,2116,210,494,136,74,106,21,9,10,64
"Patty Mills","SAS",82,2107,229,533,154,75,69,41,44,24,51
"Denzel Valentine","CHI",77,2095,244,581,151,93,101,24,26,25,68
"Serge Ibaka","TOR",76,2093,62,153,33,29,21,5,7,11,18
"Jae Crowder","UTA",80,2090,99,243,54,45,40,7,7,11,34
"Jusuf Nurkic","POR",79,2088,143,338,91,52,64,10,17,14,38
"Dennis Schroder","ATL",67,2078,417,1004,247,170,153,50,44,55,115
"Marcin Gortat","WAS",82,2075,151,361,92,59,47,15,30,13,46
"Al-Farouq Aminu","POR",69,2072,84,197,55,29,35,5,15,5,24
"Dragan Bender","PHX",82,2069,130,299,91,39,47,23,21,9,30
"Terry Rozier","BOS",80,2068,232,565,131,101,71,26,34,25,76
"Austin Rivers","LAC",61,2057,242,587,139,103,97,28,14,26,77
"Tony Snell","MIL",75,2053,98,230,64,34,36,13,15,7,27
"Tyler Johnson","MIA",72,2052,165,410,85,80,59,11,15,24,56
"Dennis Smith Jr.","DAL",69,2049,358,891,183,175,104,27,52,52,123
"Willie Cauley-Stein","SAC",73,2044,172,386,130,42,78,25,27,11,31
"Ish Smith","DET",82,2043,360,909,171,189,116,28,27,49,140
"Wayne Ellington","MIA",77,2041,79,188,49,30,36,9,4,12,18
"Clint Capela","HOU",74,2034,68,174,30,38,25,1,4,19,19
"Evan Turner","POR",79,2034,173,412,107,66,66,18,23,11,55
"Jonathon Simmons","ORL",69,2029,171,430,83,88,45,19,19,17,71
"De'Aaron Fox","SAC",73,2026,320,755,205,115,111,53,41,33,82
"Buddy Hield","SAC",80,2024,155,359,106,49,61,24,21,13,36
"Lauri Markkanen","CHI",68,2020,79,196,41,38,22,14,5,10,28
"Darren Collison","IND",69,2018,368,847,257,111,118,50,89,23,88
"Marvin Williams","CHA",78,2006,96,221,67,29,38,12,17,4,25
"Nicolas Batum","CHA",64,1981,349,805,242,107,150,46,46,11,96
"Kyle Anderson","SAS",74,1978,202,481,125,77,81,22,22,15,62
"Brandon Ingram","LAL",59,1975,230,559,131,99,97,23,11,24,75
"Joe Harris","BKN",78,1975,128,311,73,55,51,19,3,15,40
"Blake Griffin","DET",58,1970,334,809,193,141,114,39,40,30,111
"John Henson","MIL",76,1970,114,261,81,33,45,11,25,11,22
"Markieff Morris","WAS",73,1968,142,330,96,46,51,26,19,12,34
