"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Kevin Durant","OKC",82,3239,231,513,180,51,102,24,54,19,32
"Andre Iguodala","PHI",82,3193,472,1031,385,87,216,72,97,32,55
"Rudy Gay","MEM",80,3175,153,336,123,30,69,27,27,14,16
"Stephen Jackson","CHA",81,3129,300,647,253,47,200,23,30,17,30
"Gerald Wallace","CHA",76,3120,161,363,120,41,81,16,23,6,35
"O.J. Mayo","MEM",82,3114,242,531,195,47,132,26,37,19,28
"Zach Randolph","MEM",81,3051,149,341,106,43,78,19,9,9,34
"Jeff Green","OKC",82,3043,134,306,96,38,36,20,40,14,24
"Dirk Nowitzki","DAL",81,3039,218,521,133,85,70,27,36,19,66
"Brook Lopez","NJN",82,3027,187,409,152,35,95,15,42,8,27
"David Lee","NYK",81,3019,295,738,147,148,87,14,46,27,121
"LeBron James","CLE",76,2966,651,1496,457,194,315,50,92,104,90
"Rajon Rondo","BOS",81,2963,794,1773,609,185,362,70,177,49,136
"David West","NOH",81,2949,239,562,155,84,94,28,33,20,64
"LaMarcus Aldridge","POR",78,2922,160,370,110,50,63,9,38,10,40
"Aaron Brooks","HOU",82,2919,434,985,317,117,187,44,86,52,65
"Boris Diaw","CHA",82,2906,325,738,237,88,125,28,84,34,54
"Stephen Curry","GSW",80,2896,472,1054,362,110,215,34,113,34,76
"Joe Johnson","ATL",76,2886,369,847,260,109,111,38,111,44,65
"Jason Kidd","DAL",80,2881,724,1567,605,119,267,97,241,33,86
"Derrick Rose","CHI",78,2871,469,1043,364,105,153,31,180,48,57
"Josh Smith","ATL",81,2871,342,790,236,106,156,27,53,54,52
"Al Horford","ATL",81,2845,189,434,133,56,84,5,44,16,40
"Dwight Howard","ORL",82,2843,144,362,70,74,53,5,12,14,60
"Amar'e Stoudemire","PHX",82,2838,82,201,45,37,34,2,9,14,23
"Kobe Bryant","LAL",73,2836,365,831,264,101,166,39,59,40,61
"John Salmons","MIL",81,2825,223,510,159,64,68,30,61,21,43
"Ray Allen","BOS",80,2819,210,452,178,32,120,24,34,11,21
"Russell Westbrook","OKC",82,2813,652,1442,514,138,262,65,187,31,107
"Deron Williams","UTA",76,2802,798,1750,644,154,374,83,187,48,106
"Andrea Bargnani","TOR",80,2799,93,214,65,28,39,8,18,13,15
"Dwyane Wade","MIA",77,2793,501,1148,355,146,175,63,117,62,84
"Caron Butler","DAL",74,2784,156,357,111,45,52,20,39,15,30
"Nene","DEN",82,2755,203,467,142,61,76,20,46,16,45
"Danilo Gallinari","NYK",81,2747,135,306,99,36,44,12,43,15,21
"Rasual Butler","LAC",82,2702,116,250,98,18,45,25,28,8,10
"Tyreke Evans","SAC",72,2677,414,960,282,132,123,40,119,30,102
"Carlos Boozer","UTA",78,2673,247,535,206,41,123,14,69,4,37
"Luis Scola","HOU",82,2672,169,415,92,77,61,11,20,18,59
"Brandon Jennings","MIL",82,2671,470,1075,335,135,191,51,93,45,90
"Steve Nash","PHX",81,2660,892,2001,675,217,403,127,145,65,152
"Luol Deng","CHI",70,2651,143,316,113,30,61,14,38,12,18
"Monta Ellis","GSW",64,2647,340,777,243,97,154,25,64,36,61
"Raymond Felton","CHA",80,2643,446,1010,328,118,230,29,69,48,70
"Carmelo Anthony","DEN",69,2634,222,504,162,60,119,16,27,22,38
"Trevor Ariza","HOU",72,2629,276,614,214,62,116,33,65,28,34
"Chris Kaman","LAC",76,2609,120,274,86,34,62,10,14,5,29
"Metta World Peace","LAL",77,2605,234,515,187,47,102,41,44,20,27
"Lamar Odom","LAL",82,2585,267,594,207,60,110,44,53,16,44
"Mike Conley","MEM",80,2569,425,925,350,75,198,61,91,17,58
"Jason Terry","DAL",77,2540,292,672,204,88,100,29,75,22,66
"Chris Bosh","TOR",70,2526,166,388,110,56,58,27,25,10,46
"Baron Davis","LAC",75,2523,598,1306,488,110,274,86,128,32,78
"Richard Jefferson","SAS",81,2520,158,356,118,40,58,22,38,14,26
"Andre Miller","POR",82,2500,445,1003,332,113,180,36,116,46,67
"Rodney Stuckey","DET",73,2499,348,767,277,71,122,50,105,33,38
"Brandon Rush","IND",82,2491,112,269,67,45,24,7,36,5,40
"Chauncey Billups","DEN",73,2490,409,912,315,94,169,41,105,36,58
"Jason Richardson","PHX",79,2485,143,330,99,44,50,21,28,25,19
"Corey Brewer","MIN",82,2482,193,419,160,33,58,61,41,13,20
"Kirk Hinrich","CHI",74,2481,330,698,292,38,122,33,137,18,20
"Beno Udrih","SAC",79,2477,372,824,292,80,139,44,109,33,47
"Carl Landry","SAC",80,2469,66,161,37,29,12,8,17,1,28
"Marc Gasol","MEM",69,2469,165,378,117,48,68,22,27,16,32
"Marvin Williams","ATL",81,2468,93,209,70,23,30,15,25,8,15
"Al Jefferson","MIN",76,2463,137,306,105,32,45,13,47,3,29
"Jamal Crawford","ATL",79,2460,238,519,195,43,100,44,51,18,25
"Tim Duncan","SAS",78,2438,246,541,197,49,124,25,48,17,32
"Grant Hill","PHX",81,2430,193,446,133,60,80,20,33,16,44
"Brandon Roy","POR",65,2419,305,706,209,96,89,18,102,50,46
"Paul Pierce","BOS",71,2411,218,471,183,35,83,32,68,10,25
"Antawn Jamison","CLE",66,2406,84,193,59,25,40,4,15,10,15
"Pau Gasol","LAL",65,2403,218,500,154,64,84,27,43,14,50
"Shawn Marion","DAL",75,2385,107,251,70,37,29,5,36,7,30
"Courtney Lee","NJN",71,2375,121,268,95,26,40,16,39,9,17
"Emeka Okafor","NOH",82,2370,55,127,38,17,22,4,12,1,16
"Rashard Lewis","ORL",72,2369,107,257,64,43,44,12,8,12,31
"Mo Williams","CLE",69,2359,368,799,305,63,225,30,50,25,38
"Jason Thompson","SAC",75,2358,124,281,91,33,48,9,34,13,20
"Brendan Haywood","DAL",77,2355,43,96,33,10,8,3,22,2,8
"Thabo Sefolosha","OKC",82,2348,145,314,121,24,52,26,43,6,18
"Troy Murphy","IND",72,2344,150,354,96,54,49,15,32,6,48
"Jonny Flynn","MIN",81,2340,356,808,260,96,129,46,85,25,71
"Michael Beasley","MIA",78,2328,100,231,69,31,31,9,29,13,18
"Earl Watson","IND",79,2322,399,949,248,151,146,30,72,34,117
"Wilson Chandler","NYK",65,2320,138,334,80,58,46,6,28,17,41
"Marcus Camby","POR",74,2315,186,393,165,21,94,27,44,4,17
"Vince Carter","ORL",75,2311,236,585,123,113,77,26,20,60,53
"Elton Brand","PHI",76,2297,109,258,69,40,29,9,31,5,35
"Anthony Parker","CLE",81,2289,157,349,122,35,69,20,33,13,22
"Carlos Delfino","MIL",75,2279,202,455,151,51,75,20,56,17,34
"Danny Granger","IND",62,2278,171,407,106,65,54,20,32,20,45
"Paul Millsap","UTA",82,2277,131,287,106,25,56,12,38,8,17
"George Hill","SAS",78,2276,226,517,161,65,55,43,63,20,45
"Hedo Turkoglu","TOR",74,2272,304,696,216,88,101,35,80,35,53
"Andray Blatche","WAS",81,2256,170,386,124,46,87,12,25,15,31
"Jarrett Jack","TOR",82,2243,413,911,328,85,162,50,116,27,58
"Jonas Jerebko","DET",80,2233,58,125,49,9,23,10,16,3,6
"Andrew Bogut","MIL",69,2230,127,302,79,48,60,9,10,17,31
"Eric Gordon","LAC",62,2229,186,401,157,29,87,23,47,16,13
"Derek Fisher","LAL",82,2228,201,434,169,32,90,43,36,9,23
"Arron Afflalo","DEN",82,2221,138,297,117,21,62,12,43,2,19
"Devin Harris","NJN",64,2221,423,921,348,75,210,39,99,38,37
"Ryan Gomes","MIN",76,2210,124,279,93,31,44,22,27,9,22
"Taj Gibson","CHI",82,2204,70,157,53,17,18,9,26,5,12
"Al Harrington","NYK",72,2195,110,251,79,31,38,14,27,14,17
"Mike Bibby","ATL",80,2195,310,663,267,43,149,47,71,27,16
"Channing Frye","PHX",81,2190,113,279,60,53,28,10,22,25,28
"Udonis Haslem","MIA",78,2177,52,123,33,19,15,4,14,4,15
"Shane Battier","HOU",67,2168,164,372,120,44,69,18,33,15,29
"Anderson Varejao","CLE",76,2166,87,199,62,25,44,6,12,7,18
"Steve Blake","LAC",80,2159,380,862,278,102,148,45,85,34,68
"Kendrick Perkins","BOS",78,2154,80,180,60,20,36,8,16,4,16
"Manu Ginobili","SAS",75,2150,370,817,293,77,173,45,75,39,38
"Mehmet Okur","UTA",73,2149,119,259,98,21,46,12,40,11,10
"Thaddeus Young","PHI",67,2145,97,226,65,32,33,14,18,8,24
"Samuel Dalembert","PHI",82,2124,64,143,49,15,28,8,13,5,10
"Darren Collison","NOH",76,2109,432,971,325,107,171,45,109,27,80
"Matt Barnes","ORL",81,2097,134,323,79,55,53,15,11,24,31
"JR Smith","DEN",75,2082,183,403,146,37,96,15,35,12,25
"Quentin Richardson","MIA",76,2082,93,202,77,16,36,15,26,5,11
"Corey Maggette","GSW",70,2081,172,401,115,57,67,14,34,22,35
"Al Thornton","WAS",75,2079,90,209,61,29,26,16,19,9,20
"Chris Duhon","NYK",67,2072,378,878,256,122,150,19,87,30,92
"Kevin Garnett","BOS",69,2060,185,409,146,39,116,14,16,8,31
"Roy Hibbert","IND",81,2035,158,355,119,39,75,11,33,5,34
"Wesley Matthews","UTA",82,2025,124,273,99,25,54,12,33,7,18
"Anthony Morrow","GSW",69,2018,104,248,64,40,30,7,27,15,25
"Martell Webster","POR",82,2005,62,143,43,19,20,10,13,10,9
"Jermaine O'Neal","MIA",70,1992,92,211,65,27,34,10,21,8,19
"Jared Dudley","PHX",82,1991,115,261,84,31,47,11,26,14,17
"Kenyon Martin","DEN",58,1986,109,252,75,34,45,10,20,7,27
"Andrew Bynum","LAL",65,1977,68,157,47,21,22,7,18,1,20
"Ben Wallace","DET",69,1976,105,224,91,14,49,13,29,6,8
"Brad Miller","CHI",82,1950,154,328,134,20,63,16,55,10,10
"Peja Stojakovic","NOH",62,1947,92,202,74,18,35,18,21,5,13
"Omri Casspi","SAC",77,1931,95,206,79,16,46,13,20,1,15
"Joakim Noah","CHI",64,1925,132,286,110,22,52,14,44,11,11
"Lou Williams","PHI",64,1912,268,595,209,59,129,25,55,24,35
"Spencer Hawes","SAC",72,1904,158,347,127,31,77,16,34,13,18
"Ersan Ilyasova","MIL",81,1898,84,198,54,30,24,11,19,18,12
"Dahntay Jones","IND",76,1892,150,357,93,57,51,12,30,9,48
"Marcus Thornton","NOH",73,1872,114,247,95,19,46,16,33,6,13
"Luc Mbah a Moute","MIL",73,1866,81,192,51,30,21,11,19,9,21
"Jameer Nelson","ORL",65,1860,353,850,209,144,146,26,37,56,88
"Charlie Villanueva","DET",78,1847,53,116,43,10,25,6,12,4,6
"Jose Calderon","TOR",68,1817,404,899,313,91,167,51,95,15,76
"JJ Redick","ORL",82,1808,158,392,82,76,50,18,14,30,46
"Mario Chalmers","MIA",73,1807,246,544,194,52,88,18,88,22,30
"Mike Miller","WAS",54,1805,212,456,180,32,77,43,60,13,19
"Jared Jeffries","HOU",70,1793,101,241,62,39,38,8,16,4,35
"C.J. Watson","GSW",65,1788,180,423,117,63,68,9,40,22,41
"Rasheed Wallace","BOS",79,1780,80,178,62,18,34,10,18,3,15
"Chuck Hayes","HOU",82,1773,139,317,100,39,61,9,30,9,30
"Jrue Holiday","PHI",73,1767,280,614,226,54,120,39,67,19,35
"Terrence Williams","NJN",78,1763,223,514,155,68,78,20,57,27,41
"Luke Ridnour","MIL",82,1758,324,744,228,96,98,34,96,40,56
"Drew Gooden","LAC",70,1756,47,109,32,15,20,2,10,4,11
"Ronnie Brewer","MEM",58,1742,154,334,128,26,78,12,38,9,17
"Nenad Krstic","OKC",76,1741,52,120,36,16,19,7,10,2,14
"James Harden","OKC",76,1738,137,299,112,25,63,20,29,8,17
"Ramon Sessions","MIN",82,1732,258,582,192,66,106,30,56,13,53
"James Posey","NOH",77,1731,117,261,90,27,53,11,26,10,17
"Chris Douglas-Roberts","NJN",67,1730,93,214,65,28,27,11,27,13,15
"Ben Gordon","DET",62,1730,166,375,123,43,60,27,36,16,27
"Tony Parker","SAS",56,1728,317,741,210,107,109,27,74,52,55
"Kevin Love","MIN",60,1714,136,284,124,12,68,27,29,4,8
"Chris Paul","NOH",45,1712,480,1092,348,132,173,48,127,42,90
"Jason Williams","ORL",82,1703,298,719,175,123,121,17,37,41,82
"Shannon Brown","LAL",82,1700,108,255,69,39,30,19,20,12,27
"Chris Andersen","DEN",76,1695,33,74,25,8,15,4,6,0,8
"JJ Hickson","CLE",81,1691,40,95,25,15,15,3,7,5,10
"Mickael Pietrus","ORL",75,1687,49,122,25,24,14,9,2,9,15
"Andrei Kirilenko","UTA",58,1681,158,328,146,12,91,17,38,1,11
"Flip Murray","CHI",75,1673,135,304,101,34,76,8,17,13,21
"Randy Foye","WAS",70,1667,228,511,173,55,75,27,71,22,33
"Will Bynum","DET",63,1666,283,640,209,74,96,28,85,30,44
"Tayshaun Prince","DET",49,1664,161,361,122,39,35,25,62,13,26
"DeMar DeRozan","TOR",77,1664,53,119,40,13,15,6,19,4,9
"Yi Jianlian","NJN",52,1655,47,108,33,14,17,6,10,3,11
"Kyle Lowry","HOU",68,1651,305,713,202,103,133,26,43,32,71
"Kevin Martin","HOU",46,1633,111,265,68,43,32,13,23,10,33
"Juwan Howard","POR",73,1632,61,139,44,17,28,4,12,4,13
"Donte Greene","SAC",76,1630,71,156,57,14,35,8,14,8,6
"Antonio McDyess","SAS",77,1617,83,193,56,27,24,16,16,12,15
"Charlie Bell","MIL",71,1611,104,240,72,32,29,16,27,15,17
"Damien Wilkins","MIN",80,1585,135,302,103,32,43,27,33,10,22
"Carlos Arroyo","MIA",72,1585,225,510,165,60,62,19,84,18,42
"Keith Bogans","SAS",79,1559,95,212,73,22,42,13,18,12,10
"Hakim Warrick","CHI",76,1557,52,123,33,19,16,8,9,9,10
"Nick Collison","OKC",75,1557,38,86,28,10,17,5,6,2,8
"Willie Green","PHI",73,1553,152,359,97,55,36,15,46,18,37
"Richard Hamilton","DET",46,1552,202,436,170,32,108,20,42,10,22
"Jason Maxiell","DET",76,1550,39,90,27,12,17,3,7,3,9
"J.J. Barea","DAL",78,1545,258,579,195,63,83,33,79,27,36
"Roger Mason Jr.","SAS",79,1514,137,311,100,37,51,14,35,16,21
"Delonte West","CLE",60,1500,196,429,159,37,86,26,47,12,25
"CJ Miles","UTA",63,1497,105,227,88,17,53,14,21,7,10
"Dorell Wright","MIA",72,1496,91,194,79,12,30,7,42,7,5
"DeJuan Blair","SAS",82,1494,65,149,46,19,27,4,15,11,8
"Chase Budinger","HOU",74,1488,88,201,63,25,33,11,19,6,19
"Mike Dunleavy","IND",67,1486,103,236,73,30,44,13,16,8,22
"Andres Nocioni","SAC",75,1477,75,169,56,19,28,4,24,7,12
"Jordan Farmar","LAL",82,1474,127,289,92,35,45,25,22,10,25
"D.J. Augustin","CHA",80,1472,193,428,151,42,80,16,55,14,28
"Amir Johnson","TOR",82,1453,48,107,37,11,15,11,11,3,8
"Goran Dragic","PHX",80,1442,241,578,145,96,90,15,40,32,64
"Rudy Fernandez","POR",62,1441,127,275,106,21,58,13,35,10,11
"Anthony Tolliver","GSW",46,1428,87,201,60,27,31,7,22,11,16
"Nick Young","WAS",74,1421,48,101,43,5,15,8,20,0,5
"Rafer Alston","MIA",52,1421,176,384,144,32,61,25,58,13,19
"Darius Songaila","NOH",75,1410,70,160,50,20,42,3,5,3,17
"Antoine Wright","TOR",67,1392,71,156,57,14,26,9,22,5,9
"Wayne Ellington","MIN",76,1384,74,158,64,10,29,13,22,2,8
"Sonny Weems","TOR",69,1368,101,226,77,24,41,11,25,3,21
"Zydrunas Ilgauskas","CLE",64,1339,48,108,36,12,27,2,7,5,7
"Serge Ibaka","OKC",73,1323,10,23,7,3,4,0,3,2,1
"Joel Anthony","MIA",80,1322,12,29,7,5,1,1,5,2,3
"Sam Young","MEM",80,1321,52,113,43,9,27,7,9,2,7
"Ty Lawson","DEN",65,1317,203,453,156,47,85,22,49,15,32
"Maurice Evans","ATL",79,1317,48,105,39,9,19,0,20,3,6
"Jerryd Bayless","POR",74,1304,172,391,125,47,40,16,69,21,26
"Erick Dampier","DAL",55,1280,31,75,18,13,3,3,12,3,10
"Eric Maynor","OKC",81,1269,266,594,204,62,105,34,65,13,49
"Shaquille O'Neal","CLE",53,1240,80,182,58,22,44,3,11,8,14
"Craig Smith","LAC",75,1232,84,196,56,28,26,5,25,4,24
"Ryan Hollins","MIN",73,1223,51,107,46,5,16,8,22,1,4
"Kris Humphries","NJN",69,1221,32,67,29,3,11,6,12,0,3
"Tyrus Thomas","CHA",54,1220,56,120,48,8,37,3,8,4,4
"Eddie House","NYK",68,1217,85,200,55,30,36,5,14,10,20
"T.J. Ford","IND",47,1189,180,421,119,61,72,13,34,19,42
"Gilbert Arenas","WAS",32,1169,230,498,192,38,100,29,63,11,27
"Lou Amundson","PHX",79,1168,31,69,24,7,14,4,6,1,6
"Tyson Chandler","CHA",51,1163,16,33,15,1,6,3,6,0,1
"Matt Bonner","SAS",65,1161,68,166,38,30,15,11,12,13,17
"DeAndre Jordan","LAC",70,1137,21,51,12,9,7,1,4,2,7
"Marco Belinelli","TOR",66,1121,89,195,72,17,40,7,25,8,9
"Earl Boykins","WAS",67,1117,171,390,123,48,54,18,51,17,31
"Nate Robinson","BOS",56,1116,163,374,115,48,55,13,47,11,37
