"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Bradley Beal","WAS",82,3028,448,1084,260,188,191,47,22,54,134
"James Harden","HOU",78,2867,586,1390,368,218,336,27,5,83,135
"Kemba Walker","CHA",82,2863,484,1164,288,196,184,80,24,74,122
"Tobias Harris","PHI",82,2848,229,548,139,90,89,29,21,24,66
"Paul George","OKC",77,2841,318,760,194,124,150,32,12,51,73
"Damian Lillard","POR",80,2838,551,1267,386,165,296,51,39,45,120
"PJ Tucker","HOU",82,2802,96,247,41,55,29,11,1,19,36
"Kevin Durant","GSW",78,2702,457,1108,263,194,167,44,52,42,152
"Ben Simmons","PHI",79,2700,610,1480,350,260,240,42,68,45,215
"DeMar DeRozan","SAS",77,2688,475,1146,279,196,120,79,80,54,142
"LaMarcus Aldridge","SAS",81,2687,194,459,123,71,45,32,46,15,56
"Steven Adams","OKC",80,2669,124,297,75,49,50,11,14,18,31
"Klay Thompson","GSW",78,2652,186,421,137,49,96,16,25,26,23
"Andre Drummond","DET",79,2647,112,274,62,50,40,16,6,12,38
"Aaron Gordon","ORL",78,2633,289,677,190,99,118,34,38,25,74
"Russell Westbrook","OKC",73,2630,784,1862,490,294,358,98,34,98,196
"Blake Griffin","DET",75,2622,402,1007,199,203,125,37,37,44,159
"Buddy Hield","SAC",82,2615,205,483,132,73,99,22,11,21,52
"Jerami Grant","OKC",80,2612,79,204,33,46,21,7,5,15,31
"Justin Holiday","MEM",82,2607,146,345,93,53,69,15,9,18,35
"Collin Sexton","CLE",82,2605,243,579,150,93,87,42,21,17,76
"Donovan Mitchell","UTA",77,2598,322,805,161,161,120,23,18,68,93
"Rudy Gobert","UTA",81,2577,161,393,90,71,55,18,17,18,53
"Bojan Bogdanovic","IND",81,2573,161,381,102,59,71,14,17,24,35
"Joe Ingles","UTA",82,2568,469,1063,344,125,263,58,23,45,80
"Evan Fournier","ORL",81,2553,295,701,184,111,93,50,41,34,77
