"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Kevin Durant","OKC",66,2546,231,542,151,80,95,24,32,28,52
"Pau Gasol","LAL",65,2430,237,519,192,45,124,31,37,13,32
"Rudy Gay","MEM",65,2422,147,329,112,35,48,40,24,13,22
"Blake Griffin","LAC",66,2392,210,525,105,105,50,12,43,29,76
"John Wall","WAS",66,2386,530,1200,390,140,229,47,114,77,63
"Marc Gasol","MEM",65,2371,204,460,152,52,92,20,40,14,38
"Brandon Jennings","MIL",66,2331,365,807,288,77,141,38,109,26,51
"Russell Westbrook","OKC",66,2331,362,829,257,105,148,30,79,18,87
"Josh Smith","ATL",66,2329,257,597,174,83,122,23,29,40,43
"LeBron James","MIA",62,2326,387,872,289,98,157,39,93,37,61
"Kobe Bryant","LAL",58,2232,264,580,212,52,135,29,48,26,26
"Wesley Matthews","POR",66,2228,113,258,81,32,53,5,23,17,15
"Andre Iguodala","PHI",62,2209,339,741,276,63,107,63,106,14,49
"DeMar DeRozan","TOR",63,2206,128,299,85,43,50,9,26,14,29
"Jrue Holiday","PHI",65,2196,290,636,234,56,86,64,84,14,42
"Jeff Teague","ATL",66,2183,321,734,229,92,126,26,77,38,54
"Chris Paul","LAC",60,2180,543,1238,391,152,231,38,122,44,108
"Mike Conley","MEM",62,2174,404,856,356,48,158,71,127,11,37
"Tyreke Evans","SAC",63,2162,283,665,184,99,111,25,48,39,60
"Kris Humphries","NJN",62,2162,90,207,63,27,22,12,29,8,19
"Antawn Jamison","CLE",65,2151,131,296,97,34,68,10,19,17,17
"Kevin Love","MIN",55,2146,111,257,76,35,39,4,33,11,24
"Luol Deng","CHI",54,2129,157,346,125,32,87,11,27,8,24
"Brandon Knight","DET",66,2129,251,550,203,48,90,30,83,19,29
"Joe Johnson","ATL",60,2127,232,527,169,63,85,16,68,23,40
"Ty Lawson","DEN",61,2124,401,906,297,104,202,41,54,37,67
"David Lee","GSW",57,2121,162,382,104,58,53,8,43,30,28
"Monta Ellis","MIL",58,2120,346,791,247,99,144,28,75,34,65
"Marcin Gortat","PHX",66,2114,59,139,38,21,15,2,21,13,8
"Andrew Bynum","LAL",60,2112,85,187,68,17,30,13,25,4,13
"Paul Millsap","UTA",64,2100,150,339,111,39,59,17,35,10,29
"Tayshaun Prince","DET",63,2087,153,340,119,34,57,26,36,8,26
"Arron Afflalo","DEN",62,2086,149,357,90,59,65,11,14,17,42
"Greg Monroe","DET",66,2082,152,328,128,24,81,14,33,8,16
"Dirk Nowitzki","DAL",62,2079,136,332,76,60,45,18,13,14,46
"Gerald Wallace","NJN",58,2076,164,376,116,48,68,16,32,15,33
"Al Jefferson","UTA",61,2075,134,309,93,41,49,8,36,3,38
"Paul Pierce","BOS",61,2075,274,588,234,40,87,36,111,20,20
"Dwight Howard","ORL",54,2070,104,270,42,62,22,5,15,5,57
"Luis Scola","HOU",66,2067,140,332,88,52,53,18,17,18,34
"Danny Granger","IND",62,2062,109,251,76,33,30,19,27,10,23
"Tyson Chandler","NYK",62,2061,56,130,38,18,23,3,12,4,14
"Jared Dudley","PHX",65,2020,112,256,80,32,44,12,24,9,23
"Gordon Hayward","UTA",66,2015,207,448,173,34,86,36,51,4,30
"Chris Bosh","MIA",57,2007,103,237,72,31,37,14,21,10,21
"Jason Terry","DAL",63,2000,226,512,166,60,96,33,37,19,41
"Deron Williams","NJN",55,1999,481,1114,329,152,167,60,102,51,101
"LaMarcus Aldridge","POR",55,1995,134,340,62,72,31,10,21,20,52
"Marco Belinelli","NOH",66,1966,101,214,89,12,30,28,31,4,8
"Ryan Anderson","ORL",61,1964,54,129,33,21,18,9,6,6,15
"Steve Nash","PHX",62,1962,664,1458,534,130,299,104,131,38,92
"Paul George","IND",66,1958,158,354,120,38,64,18,38,13,25
"Rajon Rondo","BOS",53,1957,620,1370,490,130,221,46,223,59,71
"DeMarcus Cousins","SAC",64,1950,102,222,84,18,64,11,9,8,10
"Carlos Boozer","CHI",66,1949,125,283,92,33,60,6,26,7,26
"James Harden","OKC",62,1946,229,536,151,78,88,17,46,30,48
"Joakim Noah","CHI",64,1945,160,351,129,31,72,20,37,13,18
"Roy Hibbert","IND",65,1937,108,242,82,26,53,7,22,6,20
"David West","IND",66,1925,140,326,94,46,51,23,20,11,35
"Tony Parker","SAS",60,1923,463,1071,318,145,173,48,97,50,95
"Shawn Marion","DAL",63,1920,132,307,89,43,48,11,30,9,34
"Raymond Felton","POR",60,1906,390,881,289,101,162,36,91,36,65
"Landry Fields","NYK",66,1894,169,383,124,45,88,11,25,10,35
"Darren Collison","IND",60,1878,287,643,218,69,85,46,87,22,47
"Carmelo Anthony","NYK",55,1876,200,463,137,63,101,9,27,25,38
"Caron Butler","LAC",63,1871,78,178,56,22,39,5,12,12,10
"Brandon Bass","BOS",59,1868,55,133,32,23,13,3,16,7,16
"Kevin Garnett","BOS",60,1864,175,397,128,47,87,9,32,14,33
"Gerald Henderson","CHA",55,1831,126,284,94,32,51,18,25,10,22
"Alonzo Gee","CLE",63,1827,113,271,68,45,33,10,25,16,29
"Mario Chalmers","MIA",64,1825,222,480,186,36,97,32,57,16,20
"Andre Miller","DEN",66,1809,441,972,351,90,286,25,40,31,59
"Chandler Parsons","HOU",63,1804,134,312,90,44,44,10,36,21,23
"Jose Calderon","TOR",53,1799,468,1024,380,88,187,63,130,23,65
"DeAndre Jordan","LAC",66,1798,17,38,13,4,7,0,6,1,3
"Serge Ibaka","OKC",66,1792,28,65,19,9,14,1,4,0,9
"Kemba Walker","CHA",66,1792,289,603,264,25,105,29,130,4,21
"Nicolas Batum","POR",59,1791,84,198,54,30,26,6,22,14,16
"Marcus Thornton","SAC",51,1780,98,215,79,19,50,10,19,8,11
"O.J. Mayo","MEM",66,1771,169,365,142,27,80,28,34,13,14
"JJ Redick","ORL",65,1764,164,398,94,70,65,9,20,20,50
"Al Harrington","DEN",64,1761,88,209,55,33,40,10,5,16,17
