"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Allen Iverson","PHI",82,3484,454,948,414,40,244,70,100,23,17
"Kobe Bryant","LAL",82,3404,481,1065,378,103,192,80,106,48,55
"Shawn Marion","PHX",81,3375,198,424,170,28,87,21,62,13,15
"Jalen Rose","CHI",82,3352,395,857,328,67,189,66,73,22,45
"Jamal Mashburn","NOH",82,3326,462,1009,377,85,145,78,154,29,56
"Kevin Garnett","MIN",82,3322,495,1065,420,75,168,74,178,26,49
"Steve Francis","HOU",81,3322,502,1141,365,137,215,51,99,29,108
"Stephon Marbury","PHX",81,3248,654,1485,477,177,226,61,190,100,77
"Antoine Walker","BOS",78,3236,373,860,259,114,170,27,62,37,77
"Antawn Jamison","GSW",82,3229,156,351,117,39,54,26,37,11,28
"Gary Payton","MIL",80,3210,663,1467,522,141,172,89,261,31,110
"Tim Duncan","SAS",81,3183,316,709,239,77,170,26,43,32,45
"Ricky Davis","CLE",79,3137,436,940,368,68,160,60,148,39,29
"Dirk Nowitzki","DAL",80,3121,239,538,179,60,102,22,55,16,44
"Allan Houston","NYK",82,3110,220,489,171,49,47,67,57,19,30
"Eric Snow","PHI",82,3109,544,1171,461,83,223,70,168,24,59
"Paul Pierce","BOS",79,3097,349,856,191,158,112,26,53,54,104
"Jason Terry","ATL",81,3084,600,1290,510,90,170,114,226,28,62
"Shareef Abdur-Rahim","ATL",81,3080,242,555,171,71,66,32,73,26,45
"Rashard Lewis","SEA",77,3041,133,296,103,30,39,15,49,6,24
"Cuttino Mobley","HOU",73,3041,208,473,151,57,76,20,55,17,40
"Michael Jordan","WAS",82,3029,311,674,259,52,97,37,125,13,39
"Jason Kidd","NJN",80,2989,711,1505,628,83,398,91,139,23,60
"Tracy McGrady","ORL",75,2950,411,943,290,121,148,23,119,36,85
"Pau Gasol","MEM",82,2946,229,523,164,65,77,34,53,18,47
"Morris Peterson","TOR",82,2945,188,408,156,32,56,36,64,10,22
"Karl Malone","UTA",81,2935,379,778,359,20,198,33,128,3,17
"Andre Miller","LAC",80,2913,537,1169,442,95,219,97,126,16,79
"Ray Allen","SEA",76,2880,334,771,231,103,105,48,78,49,54
"Richard Jefferson","NJN",80,2874,201,451,152,49,74,19,59,15,34
"Ben Wallace","DET",73,2871,120,265,95,25,33,12,50,4,21
"Gilbert Arenas","GSW",82,2868,514,1112,430,84,202,94,134,19,65
"Jermaine O'Neal","IND",77,2863,155,331,134,21,79,15,40,5,16
"Latrell Sprewell","NYK",74,2858,332,764,232,100,70,80,82,29,71
"Caron Butler","MIA",78,2856,213,462,177,36,70,28,79,12,24
"Derek Fisher","LAL",82,2829,298,669,225,73,118,46,61,14,59
"Clifford Robinson","DET",81,2825,268,610,194,74,100,35,59,24,50
"Tony Parker","SAS",82,2780,432,966,330,102,153,76,101,64,38
"Desmond Mason","MIL",80,2765,163,380,109,54,39,31,39,17,37
"Jerry Stackhouse","WAS",70,2748,316,673,275,41,82,34,159,12,29
"Juwan Howard","DEN",77,2733,234,505,197,37,103,23,71,11,26
"Steve Nash","DAL",82,2712,598,1353,441,157,197,67,177,45,112
"David Wesley","NOH",73,2711,251,545,208,43,69,57,82,14,29
"Doug Christie","SAC",80,2710,376,814,314,62,144,40,130,36,26
"Sam Cassell","MIL",78,2699,450,996,354,96,163,84,107,25,71
"Jason Richardson","GSW",82,2697,247,543,198,49,68,43,87,12,37
"Rasheed Wallace","POR",74,2687,153,328,131,22,84,23,24,6,16
"Alvin Williams","TOR",78,2642,416,919,329,87,141,46,142,31,56
"Michael Finley","DAL",69,2642,205,482,133,72,62,13,58,23,49
"Brian Grant","MIA",82,2642,104,225,87,17,31,18,38,4,13
"Richard Hamilton","DET",82,2640,208,470,154,54,72,33,49,18,36
"Kenyon Martin","NJN",77,2626,185,403,152,33,68,20,64,6,27
"Chris Webber","SAC",67,2617,364,818,274,90,152,30,92,34,56
"P.J. Brown","NOH",78,2616,147,327,114,33,42,26,46,11,22
"Troy Hudson","MIN",79,2602,452,949,407,45,133,94,180,16,29
"Glenn Robinson","ATL",69,2592,205,462,153,52,90,27,36,23,29
"Pat Garrity","ORL",81,2587,121,277,86,35,27,13,46,8,27
"Kurt Thomas","NYK",81,2575,162,381,105,57,52,25,28,17,40
"Amar'e Stoudemire","PHX",82,2570,78,165,69,9,38,17,14,3,6
"Bruce Bowen","SAS",82,2568,113,266,73,40,29,21,23,14,26
"Matt Harpring","UTA",78,2556,133,277,122,11,41,14,67,2,9
"Derek Anderson","POR",76,2553,325,708,267,58,139,57,71,21,37
"Shaquille O'Neal","LAL",67,2534,206,470,148,58,75,18,55,9,49
"Theo Ratliff","ATL",81,2524,73,159,60,13,29,12,19,4,9
"James Posey","HOU",83,2518,184,403,149,35,65,40,44,18,17
"Troy Murphy","GSW",79,2516,106,239,79,27,40,20,19,4,23
"Brent Barry","SEA",75,2482,384,845,307,77,153,60,94,21,56
"Al Harrington","IND",82,2468,125,286,89,36,49,10,30,9,27
"Peja Stojakovic","SAC",72,2451,141,317,106,35,39,14,53,14,21
"Elton Brand","LAC",62,2450,157,367,104,53,54,12,38,5,48
"Jamaal Magloire","NOH",82,2444,88,197,67,21,25,13,29,8,13
"Zydrunas Ilgauskas","CLE",81,2434,127,277,104,23,47,13,44,5,18
"Jason Williams","MEM",76,2405,631,1392,501,130,227,108,166,44,86
"Bonzi Wells","POR",75,2397,246,525,213,33,138,35,40,9,24
"Vlade Divac","SAC",80,2387,274,609,213,61,129,15,69,24,37
"Yao Ming","HOU",82,2382,137,310,101,36,67,7,27,8,28
"Shane Battier","MEM",78,2382,105,231,84,21,29,12,43,8,13
