,,Per Game,,,,,,,,,,,,,,,,Shooting,,,Advanced,,,,,
Season,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
2007-08,1230,241.5,37.3,81.5,6.6,18.1,18.8,24.9,11.2,30.8,42,21.8,7.3,4.7,14.1,21,99.9,0.457,0.362,0.755,92.4,0.497,13.2,26.7,0.231,107.5
2006-07,1230,242.2,36.5,79.7,6.1,16.9,19.6,26.1,11.1,29.9,41.1,21.3,7.2,4.6,15.1,22.2,98.7,0.458,0.358,0.752,91.9,0.496,14.2,27.1,0.246,106.5
2005-06,1230,242.1,35.8,79,5.7,16,19.6,26.3,11.2,29.8,41,20.6,7.2,4.7,14.4,22.8,97,0.454,0.358,0.745,90.5,0.49,13.7,27.3,0.248,106.2
2004-05,1230,241.9,35.9,80.3,5.6,15.8,19.7,26.1,12,29.8,41.9,21.3,7.5,4.9,14.5,22.6,97.2,0.447,0.356,0.756,90.9,0.482,13.6,28.7,0.245,106.1
2003-04,1189,241.7,35,79.8,5.2,14.9,18.2,24.2,12.1,30.1,42.2,21.3,7.9,5.1,15,21.4,93.4,0.439,0.347,0.752,90.1,0.471,14.2,28.6,0.228,102.9
2002-03,1189,242,35.7,80.8,5.1,14.7,18.5,24.4,12,30.3,42.3,21.5,7.9,5,14.9,21.8,95.1,0.442,0.349,0.758,91,0.474,14,28.5,0.229,103.6
2001-02,1189,241.7,36.2,81.3,5.2,14.7,17.9,23.8,12.2,30.2,42.4,21.9,7.8,5.2,14.5,21.2,95.5,0.445,0.354,0.752,90.7,0.477,13.6,28.9,0.221,104.5
2000-01,1189,242,35.7,80.6,4.8,13.7,18.6,24.9,12,30.5,42.5,21.8,7.8,5.3,15,22.3,94.8,0.443,0.354,0.748,91.3,0.473,14.1,28.2,0.231,103
1999-00,1189,241.5,36.8,82.1,4.8,13.7,19,25.3,12.4,30.5,42.9,22.3,7.9,5.2,15.5,23.3,97.5,0.449,0.353,0.75,93.1,0.478,14.2,28.9,0.231,104.1
1998-99,725,241.8,34.2,78.2,4.5,13.2,18.8,25.8,12.6,29.1,41.7,20.7,8.4,5,15.3,22.2,91.6,0.437,0.339,0.728,88.9,0.466,14.6,30.2,0.24,102.2
1997-98,1189,241.9,35.9,79.7,4.4,12.7,19.4,26.3,13.1,28.5,41.5,22,8.4,5.1,15.5,22.4,95.6,0.45,0.346,0.737,90.3,0.478,14.5,31.4,0.243,105
1996-97,1189,241.9,36.1,79.3,6,16.8,18.7,25.3,12.7,28.4,41.1,22,8.2,4.9,15.7,22.1,96.9,0.455,0.36,0.738,90.1,0.493,14.8,30.8,0.236,106.7
1995-96,1189,241.6,37,80.2,5.9,16,19.5,26.4,12.6,28.6,41.3,22.7,8,5.1,15.8,23,99.5,0.462,0.367,0.74,91.8,0.499,14.7,30.6,0.243,107.6
1994-95,1107,241.9,38,81.5,5.5,15.3,19.9,27.1,13,28.5,41.6,23.4,8.3,5.2,15.9,23.5,101.4,0.466,0.359,0.737,92.9,0.5,14.6,31.4,0.245,108.3
1993-94,1107,241.1,39.3,84.4,3.3,9.9,19.6,26.6,13.9,29.1,43,24.4,8.9,5.2,16,22.2,101.5,0.466,0.333,0.734,95.1,0.485,14.3,32.2,0.232,106.3
1992-93,1107,241.7,40.7,86,3,9,20.9,27.7,13.8,29.3,43.1,24.7,8.6,5.2,15.9,23.2,105.3,0.473,0.336,0.754,96.8,0.491,14,32,0.243,108
1991-92,1107,241.8,41.3,87.3,2.5,7.6,20.2,26.7,14.4,29.3,43.7,24.5,8.6,5.5,15.6,22.2,105.3,0.472,0.331,0.759,96.6,0.487,13.6,32.9,0.232,108.2
1990-91,1107,241.8,41.4,87.2,2.3,7.1,21.3,27.9,14,29.3,43.3,24.7,8.6,5.3,16,23.2,106.3,0.474,0.32,0.765,97.8,0.487,13.9,32.3,0.245,107.9
1989-90,1107,241.5,41.5,87.2,2.2,6.6,21.8,28.5,13.8,29.3,43.1,24.9,8.5,5.1,16.1,23.3,107,0.476,0.331,0.764,98.3,0.489,13.9,32.1,0.25,108.1
1988-89,1025,241.5,42.5,89,2.1,6.6,22.1,28.8,14.5,29.4,43.9,25.6,9.1,5.3,17.2,23.7,109.2,0.477,0.323,0.768,100.6,0.489,14.5,33,0.249,107.8
1987-88,943,241.3,42.1,87.7,1.6,5,22.3,29.1,14.2,29.2,43.4,25.8,8.5,5.4,16.7,24.1,108.2,0.48,0.316,0.766,99.6,0.489,14.3,32.8,0.254,108
1986-87,943,241.6,42.6,88.8,1.4,4.7,23.2,30.5,14.7,29.3,44,26,8.6,5.5,17,24.5,109.9,0.48,0.301,0.763,100.8,0.488,14.3,33.4,0.262,108.3
1985-86,943,241.6,43.2,88.6,0.9,3.3,22.9,30.3,14.1,29.4,43.6,26,8.8,5.3,17.8,25.2,110.2,0.487,0.282,0.756,102.1,0.493,14.9,32.4,0.258,107.2
1984-85,943,241.4,43.8,89.1,0.9,3.1,22.4,29.4,14.3,29.2,43.5,26.3,8.5,5.3,17.9,24.9,110.8,0.491,0.282,0.764,102.1,0.496,14.9,32.9,0.252,107.9
1983-84,943,242,43.5,88.4,0.6,2.4,22.6,29.7,14.2,28.8,43,26.2,8.5,5.3,17.9,25.8,110.1,0.492,0.25,0.76,101.4,0.495,15,33,0.255,107.6
1982-83,943,241.3,43.5,89.7,0.5,2.3,20.9,28.3,14.8,29.6,44.5,25.9,8.9,5.6,19.1,25.6,108.5,0.485,0.238,0.74,103.1,0.488,15.8,33.4,0.233,104.7
1981-82,943,241.6,43.3,88.2,0.6,2.3,21.3,28.6,14.3,29.1,43.5,25.2,8.5,5.4,17.7,26.2,108.6,0.491,0.262,0.746,100.9,0.495,15,33,0.241,106.9
1980-81,943,241.4,43,88.4,0.5,2,21.7,28.9,14.5,28.9,43.5,25.5,9,5.3,18.7,25.1,108.1,0.486,0.245,0.751,101.8,0.489,15.6,33.5,0.245,105.5
1979-80,902,241.8,43.6,90.6,0.8,2.8,21.3,27.8,15.1,29.9,44.9,25.8,9.4,5.3,18.9,24.4,109.3,0.481,0.28,0.764,103.1,0.486,15.5,33.5,0.235,105.3
1978-79,902,241.1,44.5,91.7,,,21.3,28.3,14.8,30.4,45.2,25.8,9.1,5.4,19.8,25.3,110.3,0.485,,0.752,105.8,0.485,16,32.8,0.232,103.8
1977-78,902,241.8,43.6,92.9,,,21.4,28.4,15,32.1,47.1,25,9.6,5.1,20.1,25.2,108.5,0.469,,0.752,106.7,0.469,16,31.8,0.23,100.9
1976-77,902,241,42.8,92,,,20.8,27.7,15,32.1,47.1,23.9,9.4,5.1,20.6,25.2,106.5,0.465,,0.751,106.5,0.465,16.5,31.8,0.226,99.5
1975-76,738,241.4,42.1,91.7,,,20.2,26.9,14.4,33,47.4,23,8.9,4.4,19.8,24.8,104.3,0.458,,0.751,105.5,0.458,16,30.3,0.221,98.3
1974-75,738,241.4,41.7,91.1,,,19.3,25.2,14.2,32.9,47.1,23.8,8.8,4.3,19.8,24.3,102.6,0.457,,0.765,104.5,0.457,16.3,30.2,0.211,97.7
1973-74,697,241,43.1,93.9,,,19.6,25.4,14.7,33.5,48.2,24.6,8.7,4.7,20.8,23.8,105.7,0.459,,0.771,107.8,0.459,16.5,30.5,0.209,97.7
1972-73,697,240.9,44.2,96.9,,,19.2,25.3,,,50.6,25.2,,,,22.8,107.6,0.456,,0.758,,0.456,,,0.198,
1971-72,697,241.1,43.4,95.5,,,23.3,31.2,,,51.1,24.1,,,,23.6,110.2,0.455,,0.748,,0.455,,,0.244,
1970-71,697,241,44,98,,,24.3,32.7,,,53.1,24.3,,,,24.4,112.4,0.449,,0.745,,0.449,,,0.248,
1969-70,574,241.6,45.7,99.4,,,25.3,33.7,,,52.9,24.7,,,,25.1,116.7,0.46,,0.751,,0.46,,,0.255,
1968-69,574,241.4,43.7,99,,,25,35,,,56.9,23.1,,,,25.5,112.3,0.441,,0.714,,0.441,,,0.252,
1967-68,492,241.4,45,100.8,,,26.7,37.1,,,66.2,22.8,,,,26.3,116.6,0.446,,0.72,,0.446,,,0.265,
1966-67,405,241.3,45.5,103.1,,,26.5,36.2,,,67.3,22.4,,,,26.2,117.4,0.441,,0.732,,0.441,,,0.257,
1965-66,360,240.5,44.3,102.4,,,26.9,37,,,68.2,22.9,,,,26.2,115.5,0.433,,0.727,,0.433,,,0.262,
1964-65,360,241.7,42.5,99.8,,,25.6,35.6,,,67.3,21,,,,25.9,110.6,0.426,,0.721,,0.426,,,0.257,
1963-64,360,,42.9,99.1,,,25.3,35,,,65.9,21.4,,,,26.8,111,0.433,,0.722,,0.433,,,0.255,
1962-63,360,,44.6,101.2,,,26.1,35.9,,,66.7,22.7,,,,26,115.3,0.441,,0.727,,0.441,,,0.258,
1961-62,360,,45.9,107.7,,,27,37.1,,,71.4,23.9,,,,25.9,118.8,0.426,,0.727,,0.426,,,0.25,
1960-61,316,,45.4,109.4,,,27.4,37.4,,,73.3,24.2,,,,26.8,118.1,0.415,,0.733,,0.415,,,0.25,
1959-60,300,,44.5,108.7,,,26.3,35.8,,,73.5,22.6,,,,25.6,115.3,0.41,,0.735,,0.41,,,0.242,
1958-59,288,,40.4,102.3,,,27.4,36.3,,,70,19.6,,,,26,108.2,0.395,,0.756,,0.395,,,0.268,
1957-58,288,,39,101.9,,,28.6,38.3,,,71.7,19.6,,,,25.5,106.6,0.383,,0.746,,0.383,,,0.281,
1956-57,288,,35.9,94.6,,,27.7,36.9,,,62.4,18.9,,,,25.1,99.6,0.38,,0.751,,0.38,,,0.293,
1955-56,288,,35.3,91.4,,,28.4,38,,,60.1,24.3,,,,26.4,99,0.387,,0.745,,0.387,,,0.31,
1954-55,288,,33.3,86.4,,,26.5,35.9,,,56.1,23.6,,,,24.8,93.1,0.385,,0.738,,0.385,,,0.307,
1953-54,324,,28.1,75.4,,,23.4,33,,,50.9,20.3,,,,25.4,79.5,0.372,,0.709,,0.372,,,0.311,
1952-53,351,,28.5,77.1,,,25.7,35.9,,,51.5,21,,,,28.8,82.7,0.37,,0.716,,0.37,,,0.333,
1951-52,330,,29.6,80.8,,,24.4,33.2,,,54.5,21.9,,,,26.9,83.7,0.367,,0.735,,0.367,,,0.302,
1950-51,354,,29.8,83.6,,,24.5,33.4,,,49.5,21,,,,27,84.1,0.357,,0.733,,0.357,,,0.293,
1949-50,561,,28.2,83.1,,,23.6,33,,,,19.6,,,,27,80,0.34,,0.714,,0.34,,,0.284,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
