"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Harrison Barnes","GSW",66,2041,117,295,56,61,33,4,19,16,45
"Patrick Beverley","HOU",71,2041,239,566,151,88,104,35,12,33,55
"Nikola Vucevic","ORL",65,2037,179,444,93,86,69,6,18,18,68
"Langston Galloway","NYK",82,2033,207,480,141,66,67,20,54,20,46
"Jose Calderon","NYK",72,2024,298,694,200,98,80,51,69,33,65
"Patrick Patterson","TOR",79,2020,94,224,58,36,30,7,21,11,25
"Zach Randolph","MEM",68,2017,142,341,85,57,52,12,21,5,52
"Steven Adams","OKC",80,2015,62,146,40,22,17,6,17,7,15
"Ryan Anderson","NOP",66,2008,73,174,45,28,26,9,10,11,17
"Zaza Pachulia","DAL",76,2004,128,301,83,45,44,4,35,7,38
"Derrick Favors","UTA",62,1983,94,231,51,43,32,7,12,16,27
"Tony Parker","SAS",72,1981,379,841,296,83,105,60,131,22,61
"Dante Cunningham","NOP",80,1971,77,178,53,24,21,10,22,4,20
"Isaiah Canaan","PHI",77,1966,137,324,87,50,55,16,16,9,41
"Nerlens Noel","PHI",67,1965,122,283,83,39,62,13,8,9,30
"Garrett Temple","WAS",80,1951,140,320,100,40,48,21,31,11,29
"Taj Gibson","CHI",73,1936,106,244,74,32,33,14,27,4,28
"Rudy Gobert","UTA",61,1932,91,216,57,34,30,9,18,5,29
"Jared Sullinger","BOS",81,1915,187,440,121,66,67,24,30,16,50
"Lou Williams","LAL",67,1907,167,377,124,43,79,18,27,16,27
"Robert Covington","PHI",67,1903,97,225,66,31,54,8,4,10,21
"Ersan Ilyasova","ORL",74,1880,67,158,43,24,20,15,8,9,15
"Omri Casspi","SAC",69,1880,95,210,75,20,50,16,9,4,16
"Roy Hibbert","LAL",81,1878,95,216,69,26,27,14,28,7,19
"Brandon Knight","PHX",52,1870,263,636,153,110,99,30,24,35,75
"Matthew Dellavedova","CLE",76,1867,337,788,223,114,168,30,25,36,78
"Kobe Bryant","LAL",66,1863,184,416,136,48,79,26,31,9,39
"Aaron Gordon","ORL",78,1863,128,283,101,27,59,11,31,7,20
"Doug McDermott","CHI",81,1860,59,140,37,22,19,4,14,3,19
"Danilo Gallinari","DEN",53,1839,135,303,102,33,69,19,14,9,24
"Jrue Holiday","NOP",65,1831,391,901,272,119,155,46,71,29,90
"Alex Len","PHX",78,1821,97,231,60,37,33,12,15,10,27
"Ian Mahinmi","IND",71,1816,104,252,60,44,27,9,24,15,29
"Nik Stauskas","PHI",73,1809,138,315,99,39,66,15,18,17,22
"Bismack Biyombo","TOR",82,1808,29,72,15,14,9,2,4,2,12
"Amir Johnson","BOS",79,1800,138,322,92,46,43,15,34,8,38
"Chandler Parsons","DAL",61,1799,169,411,96,73,56,14,26,32,41
"Marc Gasol","MEM",52,1791,196,449,139,57,74,24,41,11,46
"Chris Bosh","MIA",53,1778,128,292,92,36,50,12,30,13,23
"Cody Zeller","CHA",73,1774,71,173,40,31,19,5,16,11,20
"Mike Conley","MEM",56,1761,342,756,270,72,111,60,99,19,53
"Thabo Sefolosha","ATL",75,1758,107,252,69,38,49,9,11,8,30
"Shane Larkin","BKN",78,1751,342,771,255,87,116,72,67,36,51
"Terrence Ross","TOR",73,1747,56,133,35,21,28,3,4,10,11
"Nikola Jokic","DEN",80,1733,189,438,129,60,93,11,25,20,40
"Andre Iguodala","GSW",65,1732,219,528,129,90,96,14,19,24,66
"Enes Kanter","OKC",82,1721,33,82,17,16,7,4,6,0,16
"Bradley Beal","WAS",55,1708,162,376,110,52,62,26,22,15,37
"Frank Kaminsky","CHA",81,1708,98,247,47,51,25,8,14,10,41
"Kenneth Faried","DEN",67,1695,79,188,49,30,33,3,13,4,26
"Stanley Johnson","DET",73,1687,118,282,72,46,46,20,6,18,28
"Mirza Teletovic","PHX",79,1685,89,211,56,33,43,5,8,8,25
"Ed Davis","POR",81,1684,88,208,56,32,25,5,26,10,22
"Shabazz Muhammad","MIN",82,1682,52,117,39,13,27,1,11,5,8
"Marco Belinelli","SAC",68,1672,127,298,83,44,51,14,18,16,28
"Corey Brewer","HOU",82,1669,109,257,70,39,56,10,4,16,23
"Kyrie Irving","CLE",53,1667,250,600,150,100,79,34,37,35,65
"Ramon Sessions","WAS",82,1667,239,538,179,60,91,36,52,10,50
"J.J. Barea","DAL",74,1667,302,692,214,88,126,36,52,24,64
"Marcus Smart","BOS",61,1667,185,428,127,58,92,15,20,19,39
"Wesley Johnson","LAC",80,1666,49,117,30,19,24,3,3,3,16
"Patty Mills","SAS",81,1662,226,498,180,46,79,35,66,15,31
"Michael Carter-Williams","MIL",54,1649,281,626,217,64,133,34,50,19,45
"Nikola Mirotic","CHI",66,1646,100,226,74,26,52,7,15,9,17
"Randy Foye","OKC",81,1641,161,375,108,53,62,16,30,13,40
"Luis Scola","TOR",76,1636,66,161,37,29,25,3,9,9,20
"Trevor Booker","UTA",79,1632,83,208,41,42,23,11,7,17,25
"Alonzo Gee","NOP",73,1632,72,172,44,28,24,7,13,5,23
"Markieff Morris","WAS",64,1629,124,293,79,45,52,15,12,14,31
"Dennis Schroder","ATL",80,1621,349,834,213,136,133,28,52,21,115
"Tony Allen","MEM",64,1620,70,151,59,11,27,19,13,2,9
"Tyson Chandler","PHX",66,1618,64,149,43,21,26,7,10,6,15
"Wayne Ellington","BKN",76,1615,83,189,60,23,34,13,13,7,16
"T.J. McConnell","PHI",81,1606,367,888,213,154,150,30,33,52,102
"Lavoy Allen","IND",79,1599,76,183,45,31,25,8,12,9,22
"Jahlil Okafor","PHI",53,1591,65,152,43,22,27,8,8,4,18
"Jonas Valanciunas","TOR",60,1557,42,106,20,22,14,3,3,6,16
"Gerald Green","MIA",69,1557,56,124,44,12,24,7,13,7,5
"Andre Roberson","OKC",70,1553,47,111,30,17,15,4,11,4,13
"Tim Duncan","SAS",61,1537,163,354,135,28,83,21,31,9,19
"Shaun Livingston","GSW",78,1519,237,547,164,73,87,26,51,20,53
"Darrell Arthur","DEN",70,1516,96,217,71,25,45,16,10,3,22
"Jordan Hill","IND",73,1513,87,204,57,30,30,8,19,9,21
"Jerryd Bayless","MIL",52,1505,163,367,122,41,59,18,45,13,28
"Raul Neto","UTA",81,1499,174,398,124,50,91,19,14,31,19
