"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Andre Iguodala","PHI",82,3269,434,921,381,53,233,61,87,25,28
"Joe Johnson","ATL",79,3125,455,1071,294,161,122,62,110,53,108
"O.J. Mayo","MEM",82,3120,262,576,210,52,134,31,45,12,40
"Antawn Jamison","WAS",81,3096,153,338,121,32,75,15,31,5,27
"Raymond Felton","CHA",82,3086,553,1266,393,160,215,38,140,48,112
"Tayshaun Prince","DET",82,3057,253,572,187,66,49,28,110,19,47
"LeBron James","CLE",81,3054,587,1406,355,232,179,37,139,130,102
"Dirk Nowitzki","DAL",81,3051,197,473,118,79,66,15,37,20,59
"Dwyane Wade","MIA",79,3048,589,1341,426,163,232,59,135,57,106
"Paul Pierce","BOS",81,3036,294,667,215,79,105,30,80,42,37
"LaMarcus Aldridge","POR",81,3004,157,398,73,84,37,7,29,28,56
"Chris Paul","NOH",78,3002,861,1945,638,223,325,92,221,101,122
"Derrick Rose","CHI",81,3000,512,1160,376,136,155,33,188,38,98
"Pau Gasol","LAL",81,3000,284,654,198,86,108,30,60,17,69
"Ben Gordon","CHI",82,2999,279,611,226,53,124,22,80,12,41
"David West","NOH",76,2982,173,436,83,90,52,10,21,30,60
"Andre Miller","PHI",82,2977,534,1126,476,58,292,47,137,22,36
"Kobe Bryant","LAL",82,2960,399,914,283,116,172,53,58,50,66
"John Salmons","CHI",79,2959,249,561,186,63,84,23,79,28,35
"Vince Carter","NJN",80,2946,376,891,237,139,148,25,64,64,75
"Rudy Gay","MEM",79,2946,135,307,98,37,52,17,29,10,27
"Richard Jefferson","MIL",82,2939,199,448,149,50,62,27,60,19,31
"Chris Bosh","TOR",77,2928,191,436,137,54,66,31,40,15,39
"Chris Duhon","NYK",79,2906,566,1340,358,208,242,33,83,57,151
"Brandon Roy","POR",78,2903,400,940,260,140,116,23,121,81,59
"Jason Kidd","DAL",81,2886,702,1551,555,147,253,68,234,51,96
"Kevin Durant","OKC",74,2885,205,454,161,44,89,24,48,18,26
"Ray Allen","BOS",79,2876,218,477,177,41,94,17,66,16,25
"Jeff Green","OKC",78,2873,155,341,124,31,57,18,49,9,22
"Rashard Lewis","ORL",79,2859,205,498,117,88,82,26,9,27,61
"Mo Williams","CLE",81,2834,329,744,243,86,129,32,82,27,59
"David Lee","NYK",81,2824,174,443,79,95,50,5,24,31,64
"Dwight Howard","ORL",79,2821,112,296,40,72,29,2,9,22,50
"Hedo Turkoglu","ORL",77,2815,375,909,216,159,137,35,44,70,89
"Chauncey Billups","DEN",79,2789,506,1129,389,117,241,54,94,27,90
"Boris Diaw","CHA",81,2754,333,759,240,93,127,33,80,39,54
"Mike Bibby","ATL",79,2740,392,869,307,85,189,60,58,40,45
"Wilson Chandler","NYK",82,2735,170,416,94,76,46,10,38,26,50
"Jarrett Jack","IND",82,2716,338,796,218,120,122,26,70,23,97
"Emeka Okafor","CHA",82,2692,53,123,36,17,21,2,13,1,16
"Eric Gordon","LAC",78,2677,215,496,149,66,79,21,49,25,41
"Gerald Wallace","CHA",71,2669,189,422,145,44,102,18,25,16,28
"Russell Westbrook","OKC",82,2668,435,943,362,73,182,37,143,16,57
"Al Thornton","LAC",71,2654,103,241,68,35,27,12,29,8,27
"Rajon Rondo","BOS",80,2642,659,1495,482,177,280,41,161,73,104
"Anthony Parker","TOR",80,2636,269,586,221,48,100,35,86,14,34
"Mario Chalmers","MIA",82,2626,403,879,330,73,137,47,146,31,42
