"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Gilbert Arenas","WAS",80,3384,484,1071,381,103,192,67,122,26,77
"LeBron James","CLE",79,3361,521,1190,373,148,220,41,112,87,61
"Joe Johnson","ATL",82,3340,536,1181,427,109,202,42,183,36,73
"Antawn Jamison","WAS",82,3289,158,360,114,44,58,19,37,9,35
"Kobe Bryant","LAL",80,3277,360,834,246,114,144,42,60,32,82
"Shawn Marion","PHX",81,3263,143,348,81,62,37,7,37,24,38
"Lamar Odom","LAL",80,3221,443,1003,326,117,148,55,123,27,90
"Ricky Davis","MIN",78,3207,394,860,322,72,131,50,141,27,45
"Mike Bibby","SAC",82,3167,444,956,376,68,204,27,145,22,46
"Morris Peterson","TOR",82,3140,190,419,151,39,63,18,70,19,20
"Pau Gasol","MEM",80,3135,371,916,197,174,126,19,52,47,127
"Michael Redd","MIL",80,3130,229,507,180,49,103,17,60,14,35
"Allen Iverson","PHI",72,3103,532,1169,427,105,214,52,161,38,67
"Elton Brand","LAC",79,3099,208,459,165,43,56,48,61,8,35
"Dirk Nowitzki","DAL",81,3089,226,502,176,50,91,37,48,12,38
"Andre Iguodala","PHI",82,3086,255,554,211,44,125,28,58,14,30
"Paul Pierce","BOS",79,3085,375,846,279,96,159,31,89,33,63
"Richard Jefferson","NJN",78,3059,297,666,225,72,76,26,123,29,43
"Ray Allen","SEA",78,3022,286,635,223,63,122,50,51,22,41
"Dwight Howard","ORL",82,3021,125,275,100,25,57,10,33,6,19
"Cuttino Mobley","LAC",79,2979,238,503,211,27,69,71,71,10,17
"Jason Kidd","NJN",80,2976,672,1444,572,100,282,77,213,30,70
"Raja Bell","PHX",79,2959,207,490,131,76,44,15,72,17,59
"Kevin Garnett","MIN",76,2958,308,653,271,37,143,29,99,10,27
"Kirk Hinrich","CHI",81,2955,514,1150,392,122,151,62,179,50,72
"Mehmet Okur","UTA",82,2945,194,416,166,28,76,11,79,4,24
"Carmelo Anthony","DEN",80,2941,216,475,173,43,97,19,57,16,27
"Andre Miller","DEN",82,2937,674,1448,574,100,379,32,163,37,63
"Chauncey Billups","DET",81,2925,699,1552,545,154,213,92,240,51,103
"Mike James","TOR",79,2925,460,1060,320,140,120,48,152,60,80
"Brad Miller","SAC",79,2923,374,854,268,106,140,32,96,28,78
"Stephen Jackson","IND",81,2910,225,506,169,56,103,25,41,25,31
"Vince Carter","NJN",79,2906,338,757,257,81,111,37,109,26,55
"Tayshaun Prince","DET",82,2898,186,432,126,60,55,18,53,16,44
"Chris Webber","PHI",75,2893,256,556,212,44,124,36,52,10,34
"Dwyane Wade","MIA",75,2893,503,1167,342,161,207,39,96,76,85
"Ben Wallace","DET",82,2890,158,349,125,33,65,19,41,17,16
"Jason Richardson","GSW",75,2877,232,539,157,75,79,22,56,28,47
"Rashard Lewis","SEA",78,2876,182,420,126,56,46,26,54,17,39
"Boris Diaw","PHX",81,2874,503,1172,337,166,162,30,145,58,108
"Shane Battier","MEM",81,2839,136,318,90,46,52,12,26,17,29
"Richard Hamilton","DET",80,2825,275,602,223,52,121,23,79,18,34
"Chris Paul","NOK",78,2809,611,1323,510,101,209,50,251,30,71
"Jason Terry","DAL",80,2798,306,667,251,55,84,44,123,11,44
"Steve Nash","PHX",79,2796,826,1874,604,222,286,88,230,91,131
"Tim Duncan","SAS",80,2784,253,571,188,65,107,28,53,21,44
"Al Harrington","ATL",76,2782,238,531,183,55,95,17,71,22,33
"Rasheed Wallace","DET",80,2780,182,403,143,39,73,29,41,20,19
"Smush Parker","LAL",82,2774,302,685,221,81,114,30,77,18,63
"Bruce Bowen","SAS",82,2755,126,285,93,33,35,30,28,13,20
"Chris Bosh","TOR",70,2751,181,428,115,66,62,19,34,23,43
"Wally Szczerbiak","BOS",72,2729,213,482,157,56,68,30,59,22,34
"Tony Parker","SAS",80,2715,460,1065,315,145,145,56,114,91,54
"Caron Butler","WAS",75,2708,186,413,145,41,88,19,38,9,32
"Sam Cassell","LAC",78,2653,491,1045,428,63,145,103,180,15,48
"DeShawn Stevenson","ORL",82,2648,160,349,131,29,67,18,46,10,19
"Luke Ridnour","SEA",79,2625,550,1276,374,176,185,73,116,46,130
"Hedo Turkoglu","ORL",78,2615,216,456,192,24,84,28,80,8,16
"Andrei Kirilenko","UTA",69,2604,299,628,269,30,154,29,86,3,27
"Luol Deng","CHI",78,2604,147,355,86,61,33,9,44,25,36
"Peja Stojakovic","IND",71,2601,136,308,100,36,48,11,41,14,22
"Derek Fisher","GSW",82,2589,352,790,266,86,170,24,72,37,49
"Mike Dunleavy","GSW",81,2577,237,553,158,79,76,29,53,24,55
"Kyle Korver","PHI",82,2563,163,350,139,24,69,29,41,8,16
"Chris Kaman","LAC",78,2561,79,172,65,14,32,11,22,4,10
"Josh Smith","ATL",80,2559,191,428,145,46,108,11,26,26,20
"T.J. Ford","MIL",72,2557,473,1091,328,145,174,40,114,49,96
"Jamal Crawford","NYK",79,2555,301,643,260,41,151,29,80,17,24
"Zach Randolph","POR",74,2545,144,341,91,53,50,10,31,3,50
"Bobby Simmons","MIL",75,2538,172,381,135,37,77,20,38,14,23
"Juwan Howard","HOU",80,2537,112,263,73,39,40,18,15,10,29
"David West","NOK",74,2526,92,205,71,21,29,7,35,8,13
"Troy Murphy","GSW",74,2516,101,243,60,41,39,2,19,14,27
"Trenton Hassell","MIN",77,2514,203,440,169,34,76,25,68,9,25
"Udonis Haslem","MIA",81,2491,95,215,70,25,49,12,9,8,17
"Ben Gordon","CHI",80,2482,240,532,188,52,84,31,73,14,38
"Nenad Krstic","NJN",80,2470,88,208,56,32,22,6,28,9,23
"Jamaal Magloire","MIL",82,2465,56,125,43,13,23,7,13,4,9
"Zaza Pachulia","ATL",78,2452,129,279,108,21,70,8,30,6,15
"Eddie Jones","MEM",75,2437,177,395,136,41,63,32,41,14,27
"Rafer Alston","HOU",63,2431,425,932,343,82,123,66,154,34,48
"Delonte West","BOS",71,2418,329,726,261,68,129,35,97,23,45
"Raymond Felton","CHA",80,2406,446,980,358,88,133,52,173,49,39
"Steve Francis","NYK",70,2394,345,754,281,64,159,42,80,19,45
"P.J. Brown","NOK",75,2380,90,190,80,10,29,15,36,2,8
"David Wesley","HOU",71,2372,204,460,152,52,58,45,49,18,34
"Charlie Villanueva","TOR",81,2361,88,202,62,26,31,3,28,14,12
"Eric Snow","CLE",82,2351,346,768,270,76,153,38,79,32,44
"Brevin Knight","CHA",69,2351,610,1344,486,124,220,63,203,34,90
"Andrew Bogut","MIL",82,2348,192,433,143,49,69,24,50,21,28
"Luther Head","HOU",80,2310,215,485,160,55,71,39,50,16,39
"Deron Williams","UTA",80,2307,359,777,300,59,142,22,136,7,52
"Gary Payton","MIA",81,2305,257,588,183,74,88,32,63,24,50
"Kenny Thomas","SAC",82,2293,168,377,127,41,65,10,52,9,32
"Zydrunas Ilgauskas","CLE",78,2283,91,206,67,24,44,4,19,6,18
"Antonio Daniels","WAS",79,2283,284,653,199,85,95,26,78,24,61
"Mike Miller","MEM",74,2268,200,454,146,54,88,22,36,22,32
"Josh Childress","ATL",74,2249,131,299,94,37,39,10,45,13,24
"Mark Blount","MIN",81,2240,99,209,88,11,48,5,35,1,10
"Andres Nocioni","CHI",82,2239,117,274,77,40,31,14,32,13,27
"Tony Battie","ORL",82,2215,49,109,38,11,20,2,16,0,11
"Metta World Peace","SAC",56,2207,203,478,131,72,60,23,48,21,51
