Player,Age,Tm,Lg,Season,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,26,OKC,NBA,2019-20,63,63,1680,20.5,0.006,0.421,14,24,19.2,13.2,1.5,3.4,14.2,17.3,122,106,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,283,478,282,475,1,3,117,201,207,376,583,146,51,67,94,122,684
Bam Adebayo,22,MIA,NBA,2019-20,72,72,2417,20.3,0.018,0.484,8.5,24.9,17,24.2,1.7,3.8,17.6,21.2,116,106,4.6,3.9,8.5,0.168,1.4,2,3.4,3.3,440,790,438,776,2,14,264,382,176,559,735,368,82,93,204,182,1146
LaMarcus Aldridge,34,SAS,NBA,2019-20,53,53,1754,19.7,0.198,0.241,6.3,17.8,12,11.4,1,4.4,7.8,23.4,115,112,3,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,391,793,330,636,61,157,158,191,103,289,392,129,36,87,74,128,1001
Kyle Alexander,23,MIA,NBA,2019-20,2,0,13,4.7,0,0,17.9,8.3,12.9,0,0,0,33.3,10.2,96,116,0,0,0,-0.003,-6.1,-3.5,-9.6,0,1,2,1,2,0,0,0,0,2,1,3,0,0,0,1,1,2
Nickeil Alexander-Walker,21,NOP,NBA,2019-20,47,1,591,8.9,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,93,113,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4,98,266,52,133,46,133,25,37,9,75,84,89,17,8,54,57,267
Grayson Allen,24,MEM,NBA,2019-20,38,0,718,12,0.562,0.179,1.2,11.1,6.2,10,0.7,0.2,10.9,17.6,114,115,0.8,0.4,1.2,0.082,-0.1,-1.2,-1.3,0.1,117,251,60,110,57,141,39,45,8,77,85,52,10,2,33,53,330
Jarrett Allen,21,BRK,NBA,2019-20,70,64,1852,20.7,0.013,0.581,12.3,24.9,18.7,8.9,1,4.2,11.7,14.9,132,106,5.2,2.9,8.2,0.212,1.4,1,2.3,2,302,465,302,459,0,6,171,270,216,455,671,110,40,92,77,162,775
Kadeem Allen,27,NYK,NBA,2019-20,10,0,117,14,0.364,0.25,1.8,6.6,4.1,27,2.1,1.6,14.1,20.6,106,114,0.1,0.1,0.1,0.053,-0.1,-0.6,-0.7,0,19,44,14,28,5,16,7,11,2,7,9,21,5,2,8,7,50
Al-Farouq Aminu,29,ORL,NBA,2019-20,18,2,380,7.6,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,88,108,-0.4,0.5,0.1,0.014,-4.4,1.4,-3,-0.1,25,86,16,50,9,36,19,29,24,63,87,21,18,8,17,27,78
Justin Anderson,26,BRK,NBA,2019-20,10,1,107,3.2,0.763,0.105,1,18.9,10.2,10.1,0,4.7,9.1,17.1,78,109,-0.2,0.1,-0.1,-0.054,-6.8,-0.9,-7.7,-0.2,10,38,4,9,6,29,2,4,1,20,21,8,0,6,4,13,28
Kyle Anderson,26,MEM,NBA,2019-20,67,28,1330,12.5,0.257,0.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,109,109,0.9,1.7,2.5,0.091,-1.5,2,0.5,0.9,157,331,133,246,24,85,52,78,58,227,285,162,54,37,66,111,390
Ryan Anderson,31,HOU,NBA,2019-20,2,0,14,9.4,0.714,0,0,52.9,26.2,20.4,3.3,0,12.5,23.7,78,98,0,0,0,-0.037,-3.3,0.5,-2.8,0,2,7,1,2,1,5,0,0,0,7,7,2,1,0,1,1,5
Giannis Antetokounmpo,25,MIL,NBA,2019-20,63,63,1917,31.9,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3,13.2,37.5,116,97,6.1,5,11.1,0.279,7.4,4.1,11.5,6.6,685,1238,596,945,89,293,398,629,140,716,856,354,61,66,230,195,1857
Kostas Antetokounmpo,22,LAL,NBA,2019-20,5,0,20,16.3,0,0.667,11.1,5.4,8.2,13.7,0,0,20.5,10.3,153,115,0.1,0,0.1,0.193,0.2,-0.9,-0.7,0,3,3,3,3,0,0,1,2,2,1,3,2,0,0,1,2,7
Thanasis Antetokounmpo,27,MIL,NBA,2019-20,20,2,129,12.2,0.208,0.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,98,103,-0.1,0.2,0.2,0.07,-4.6,1.4,-3.2,0,24,48,24,38,0,10,7,17,12,12,24,15,7,2,12,18,55
Carmelo Anthony,35,POR,NBA,2019-20,58,58,1902,12.4,0.289,0.206,4,16.1,10.1,6.4,1.2,1.2,10.5,21.2,104,115,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,336,782,249,556,87,226,136,161,71,297,368,85,49,27,100,171,895
OG Anunoby,22,TOR,NBA,2019-20,69,68,2066,13.2,0.403,0.18,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,114,104,2.1,3.7,5.7,0.134,-0.8,1.9,1.2,1.7,286,566,197,338,89,228,72,102,80,284,364,108,96,45,79,167,733
Ryan Arcidiacono,25,CHI,NBA,2019-20,58,4,930,9,0.627,0.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,111,113,0.7,0.7,1.4,0.071,-2.7,-0.1,-2.8,-0.2,90,220,36,82,54,138,27,38,20,90,110,96,27,3,37,96,261
Trevor Ariza,34,TOT,NBA,2019-20,53,21,1493,11,0.639,0.228,2.5,15.7,9,8,2.2,0.9,13.6,11.8,114,112,1.3,1.2,2.5,0.081,-1.4,0.9,-0.5,0.5,142,324,65,117,77,207,62,74,34,212,246,91,69,15,56,111,423
D.J. Augustin,32,ORL,NBA,2019-20,57,13,1420,14,0.436,0.393,1.6,7.8,4.6,26.8,1.2,0.1,13.7,19.1,114,114,2,0.9,2.9,0.098,-0.3,-1.3,-1.6,0.2,184,461,114,260,70,201,161,181,22,100,122,262,34,1,86,72,599
Deandre Ayton,21,PHO,NBA,2019-20,38,32,1236,20,0.023,0.157,13,26.3,19.6,9.7,1,4.1,11.6,23.7,111,108,1.5,1.6,3.1,0.121,0.8,-0.4,0.4,0.7,310,568,307,555,3,13,67,89,147,289,436,72,26,58,80,117,690
Dwayne Bacon,24,CHO,NBA,2019-20,39,11,687,6.1,0.275,0.217,2.3,14,7.9,11.7,1.7,0.3,12.2,19.5,86,114,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8,85,244,66,177,19,67,35,53,15,85,100,52,23,2,37,52,224
Marvin Bagley,20,SAC,NBA,2019-20,13,6,334,15.6,0.132,0.186,9.5,23.5,16.3,4.9,0.9,3.4,9.1,25.8,102,111,0,0.3,0.4,0.051,-2.2,-1.3,-3.5,-0.1,78,167,74,145,4,22,25,31,29,68,97,10,6,12,18,43,185
Lonzo Ball,22,NOP,NBA,2019-20,63,54,2025,13.1,0.575,0.111,3.7,16.4,10,29.1,2,1.6,21.1,18.5,103,111,0.4,2,2.4,0.058,0.1,0.6,0.6,1.3,277,687,129,292,148,395,43,76,71,312,383,438,88,38,193,128,745
Mohamed Bamba,21,ORL,NBA,2019-20,62,0,878,17.5,0.374,0.161,11.9,25.6,18.5,7.2,1.3,8.8,12.1,17.1,111,103,0.8,1.7,2.5,0.135,-1.2,1.6,0.4,0.5,132,286,95,179,37,107,31,46,100,202,302,42,23,86,42,116,332
J.J. Barea,35,DAL,NBA,2019-20,29,6,450,14.6,0.411,0.106,2.4,9.9,6.2,37.1,0.5,0.4,14.9,24.2,109,116,0.5,0.2,0.7,0.072,1.6,-3,-1.4,0.1,85,207,53,122,32,85,20,22,10,43,53,112,5,2,38,27,222
Harrison Barnes,27,SAC,NBA,2019-20,72,72,2482,13.3,0.338,0.337,3.4,12.9,8.1,9.2,0.8,0.5,8.8,17.4,116,116,3.4,1.1,4.6,0.088,0,-1.3,-1.3,0.5,365,793,263,525,102,268,214,267,77,278,355,159,43,12,88,93,1046
RJ Barrett,19,NYK,NBA,2019-20,56,55,1704,10.7,0.271,0.349,3,14.8,8.7,12.8,1.6,0.9,12.9,24,95,114,-1.6,1.1,-0.5,-0.015,-2.9,-1.5,-4.3,-1,292,727,229,530,63,197,156,254,50,229,279,143,55,17,124,122,803
Will Barton,29,DEN,NBA,2019-20,58,58,1916,15.6,0.39,0.18,4.5,16.9,10.7,16,1.6,1.4,9.9,20.1,113,111,2.4,1.8,4.2,0.106,1.2,-0.2,1.1,1.5,332,738,224,450,108,288,102,133,76,289,365,212,61,29,88,121,874
Keita Bates-Diop,24,TOT,NBA,2019-20,44,0,744,12.4,0.44,0.321,3.5,15.1,9.1,5.8,1.2,2.7,6,15.8,111,113,0.6,0.6,1.2,0.078,-1,-0.4,-1.4,0.1,100,234,66,131,34,103,54,75,25,102,127,30,19,24,17,43,288
Nicolas Batum,31,CHO,NBA,2019-20,22,3,505,9.2,0.605,0.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,107,112,0.2,0.4,0.6,0.055,-2.8,0.9,-1.9,0,28,81,14,32,14,49,9,10,25,75,100,66,17,8,22,41,79
Aron Baynes,33,PHO,NBA,2019-20,42,28,934,15.2,0.441,0.197,8.3,20,14.1,10.9,0.5,2.1,10.8,21.1,113,112,1.3,0.8,2.1,0.107,-0.2,-0.8,-1,0.2,183,381,124,213,59,168,56,75,71,166,237,67,10,23,50,141,481
Kent Bazemore,30,TOT,NBA,2019-20,68,21,1688,9.3,0.457,0.275,1.7,17.1,9.4,7.4,2.1,2.1,13.2,17.5,96,112,-0.9,1.5,0.6,0.017,-3.4,0.3,-3.1,-0.5,200,534,116,290,84,244,113,147,27,267,294,93,74,40,91,196,597
Darius Bazley,19,OKC,NBA,2019-20,61,9,1130,9.6,0.445,0.196,3,20.5,12,5.1,1,3.1,11.6,15.1,96,108,-0.5,1.5,1,0.041,-2.1,0.5,-1.6,0.1,125,317,76,176,49,141,43,62,30,216,246,41,23,41,45,55,342
Bradley Beal,26,WAS,NBA,2019-20,57,57,2053,23.2,0.369,0.351,2.7,10.5,6.4,29.5,1.6,1,11.4,34.4,113,117,4.5,0.6,5.1,0.118,5.3,-2.4,2.9,2.5,593,1303,423,822,170,481,385,457,52,190,242,347,71,23,194,126,1741
Malik Beasley,23,TOT,NBA,2019-20,55,14,1209,12.7,0.517,0.124,1.6,11.9,6.7,9.4,1.6,0.6,9.2,21.8,105,114,0.4,0.8,1.2,0.049,-0.7,-1.4,-2.1,0,227,534,120,258,107,276,54,66,18,130,148,75,40,8,57,77,615
Marco Belinelli,33,SAS,NBA,2019-20,57,0,883,10.8,0.567,0.185,0.9,11.2,6,10.7,0.6,0.1,5.3,17.5,110,118,0.7,0.2,0.8,0.046,-0.7,-2,-2.7,-0.2,123,314,56,136,67,178,48,58,7,92,99,69,12,1,19,45,361
Jordan Bell,25,TOT,NBA,2019-20,29,0,256,13.9,0.179,0.463,12,21.8,16.7,8.9,0.5,3.2,20.7,16.4,108,112,0.2,0.2,0.4,0.07,-1.4,-1.1,-2.5,0,35,67,31,55,4,12,19,31,30,51,81,16,3,10,21,19,93
DeAndre' Bembry,25,ATL,NBA,2019-20,43,4,915,9.6,0.285,0.211,4,14.1,8.9,12.3,2.8,1.7,19.4,14,95,112,-0.5,0.8,0.2,0.012,-3.5,1.1,-2.5,-0.1,104,228,89,163,15,65,26,48,34,118,152,81,55,19,60,84,249
Dragan Bender,22,TOT,NBA,2019-20,16,3,286,10.9,0.467,0.152,5.9,21.1,13.5,14.4,0.7,2.8,17.6,17.7,102,110,0,0.3,0.3,0.052,-3,0.1,-3,-0.1,41,92,26,49,15,43,10,14,16,57,73,28,4,9,21,42,107
Dāvis Bertāns,27,WAS,NBA,2019-20,54,4,1583,15.5,0.774,0.2,2.3,15.1,8.5,8.4,1.1,1.8,8.2,19,120,116,3,0.5,3.5,0.107,2.7,-1.8,0.9,1.1,265,610,65,138,200,472,104,122,35,210,245,92,37,33,59,139,834
Patrick Beverley,31,LAC,NBA,2019-20,51,50,1342,12.5,0.604,0.138,4.5,15.8,10.3,18.2,1.9,1.6,15.4,13.3,116,107,1.6,2,3.6,0.128,-0.3,2.5,2.2,1.4,147,341,67,135,80,206,31,47,57,209,266,183,54,25,66,156,405
Khem Birch,27,ORL,NBA,2019-20,48,24,922,11.7,0.007,0.706,10.3,15.6,12.9,7.3,1.1,2.3,14.2,10.2,121,111,1.2,0.9,2.2,0.112,-2.5,0.2,-2.4,-0.1,73,143,73,142,0,1,66,101,91,129,220,50,20,23,31,91,212
Goga Bitadze,20,IND,NBA,2019-20,54,2,471,12.1,0.28,0.22,5.9,18.7,12.3,6.7,1,6.9,14.5,17.9,99,105,-0.1,0.8,0.7,0.067,-4.1,1.8,-2.3,0,70,150,62,108,8,42,24,33,25,81,106,23,10,37,28,65,172
Bismack Biyombo,27,CHO,NBA,2019-20,53,29,1029,16.1,0,0.543,12.3,20.7,16.3,7.8,0.5,4.4,12.2,16.8,116,112,1.5,0.9,2.4,0.113,-1.8,-0.7,-2.5,-0.1,151,278,151,278,0,0,91,151,120,188,308,50,10,49,48,116,393
Nemanja Bjelica,31,SAC,NBA,2019-20,72,67,2011,15.7,0.49,0.129,6.1,19.9,12.8,14.7,1.5,1.9,12.5,17,119,111,3.4,1.9,5.3,0.127,1.2,0.5,1.7,1.9,314,653,180,333,134,320,69,84,111,347,458,203,62,40,99,216,831
Eric Bledsoe,30,MIL,NBA,2019-20,61,61,1646,17.6,0.306,0.304,2.8,13.5,8.5,28.7,1.6,1.4,15.7,23.7,112,104,2.4,3,5.4,0.157,0.8,1.1,1.8,1.6,334,703,260,488,74,215,169,214,43,239,282,328,57,26,148,128,911
Bogdan Bogdanović,27,SAC,NBA,2019-20,61,28,1766,15.1,0.576,0.151,1.6,11.8,6.6,18,1.8,0.8,11.1,22.6,110,113,1.8,1.3,3.1,0.084,1.2,-0.5,0.6,1.2,337,766,173,325,164,441,86,116,26,181,207,207,64,15,102,133,924
Bojan Bogdanović,30,UTA,NBA,2019-20,63,63,2083,15.6,0.489,0.296,2.1,11.2,6.8,10,0.8,0.3,13.1,25.5,111,113,2.6,1.6,4.2,0.096,1.6,-1.5,0.1,1.1,418,935,229,478,189,457,250,277,39,220,259,131,34,7,159,110,1275
Bol Bol,20,DEN,NBA,2019-20,7,0,87,14.4,0.321,0.357,6.4,18,12.2,9.8,1.1,6.4,23.6,21.2,102,108,0,0.1,0.1,0.063,-2.1,-0.7,-2.9,0,14,28,10,19,4,9,8,10,5,14,19,6,2,6,10,11,40
Jonah Bolden,24,TOT,NBA,2019-20,7,0,47,4.9,0.364,0.364,7,14.3,10.6,0,3,3.7,13.6,13.4,80,106,-0.1,0.1,0,-0.006,-8.7,-0.1,-8.8,-0.1,4,11,4,7,0,4,2,4,3,6,9,0,3,2,2,10,10
Marques Bolden,21,CLE,NBA,2019-20,1,0,3,19.8,,,0,74.7,37,0,16.2,0,,0,,69,0,0,0,0.282,-5.9,11.3,5.4,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0
Jordan Bone,22,DET,NBA,2019-20,10,0,53,0.8,0.5,0,0,8.7,4.3,21,0.9,0,9.1,18.1,76,117,-0.1,0,-0.1,-0.117,-9.1,-2.8,-11.9,-0.1,5,20,3,10,2,10,0,0,0,4,4,8,1,0,2,6,12
Isaac Bonga,20,WAS,NBA,2019-20,66,49,1250,10.2,0.303,0.363,6,13.8,9.7,7.9,1.7,1.5,17.6,11,116,116,1.2,0.6,1.8,0.068,-2.7,-0.1,-2.8,-0.3,118,234,93,163,25,71,69,85,71,151,222,76,45,22,58,156,330
Devin Booker,23,PHO,NBA,2019-20,70,70,2512,20.6,0.31,0.397,1.3,12,6.6,30,0.9,0.6,14.9,30,115,114,6,1.5,7.5,0.143,3.4,-1.3,2.2,2.6,627,1283,486,885,141,398,468,509,29,268,297,456,49,18,264,213,1863
Chris Boucher,27,TOR,NBA,2019-20,62,0,819,20.7,0.395,0.388,14.1,21.4,17.9,4.8,1.3,7.3,7.4,19.7,124,101,2.1,1.8,3.8,0.224,1,1,2,0.8,141,299,103,181,38,118,91,116,107,170,277,26,22,61,28,114,411
Brian Bowen,21,IND,NBA,2019-20,6,1,31,0.1,0.2,0,3.6,21,12.4,0,0,2.8,9.1,15.6,62,109,-0.1,0,-0.1,-0.107,-9.1,-1.6,-10.7,-0.1,3,10,3,8,0,2,0,0,1,6,7,0,0,1,1,3,6
Ky Bowman,22,GSW,NBA,2019-20,45,12,1015,9.1,0.333,0.128,2.5,10.7,6.5,19.4,2.1,0.9,17.1,17.2,96,115,-0.6,0.6,-0.1,-0.003,-4,-0.3,-4.3,-0.6,134,321,101,214,33,107,34,41,24,97,121,131,44,10,70,102,335
Avery Bradley,29,LAL,NBA,2019-20,49,44,1186,8.9,0.452,0.063,1.7,8.9,5.3,7.2,1.7,0.4,10.7,15.7,103,110,0.2,1.4,1.5,0.062,-3,0.5,-2.5,-0.2,170,383,107,210,63,173,20,24,18,97,115,63,43,5,47,110,423
Tony Bradley,22,UTA,NBA,2019-20,58,3,663,21.7,0.016,0.243,19.1,25,22.2,5.4,1,4.1,12.5,15.8,135,106,2.2,1.1,3.3,0.236,1,0.3,1.3,0.6,126,189,123,186,3,3,30,46,111,156,267,23,14,33,30,115,285
Jarrell Brantley,23,UTA,NBA,2019-20,9,0,96,8,0.464,0.071,2.4,19.9,11.5,15.8,1.5,4.3,19.5,16.3,85,106,-0.2,0.1,0,-0.006,-5.3,0.7,-4.6,-0.1,10,28,7,15,3,13,1,2,2,18,20,11,3,5,7,7,24
Ignas Brazdeikis,21,NYK,NBA,2019-20,9,0,53,3.2,0.409,0.227,3.9,6.2,5,10.6,0,1.8,7.6,21,82,119,-0.1,0,-0.1,-0.108,-5.1,-3.9,-9,-0.1,6,22,5,13,1,9,4,5,2,3,5,4,0,1,2,3,17
Corey Brewer,33,SAC,NBA,2019-20,5,0,33,8.7,0.25,0.75,6.7,21,13.6,7.7,5.9,0,27.3,9.6,91,102,0,0.1,0,0.064,-6.9,3.8,-3.1,0,2,4,2,3,0,1,1,3,2,6,8,2,4,0,2,7,5
Mikal Bridges,23,PHO,NBA,2019-20,73,32,2042,12.9,0.401,0.252,3.5,12.4,7.9,8.6,2.4,2,12,12.7,119,110,2.5,2.3,4.8,0.113,-0.6,1.5,0.8,1.5,247,484,177,290,70,194,103,122,66,226,292,129,102,46,73,163,667
Miles Bridges,21,CHO,NBA,2019-20,65,64,1995,12.1,0.398,0.174,4.6,15.6,9.9,9.4,1,2.2,10.5,20,103,114,0.3,1.3,1.6,0.039,-1.5,-1,-2.5,-0.3,319,753,220,453,99,300,106,131,88,274,362,114,40,48,95,132,843
Oshae Brissett,21,TOR,NBA,2019-20,19,0,135,6.7,0.417,0.278,7.2,13,10.2,7,1.4,0.7,14.8,15,96,107,-0.1,0.2,0.1,0.043,-5.8,0.4,-5.4,-0.1,13,36,10,21,3,15,8,10,9,17,26,7,4,1,7,18,37
Ryan Broekhoff,29,DAL,NBA,2019-20,17,1,180,13.1,0.864,0.136,3,21.9,12.5,8.3,1.3,1.9,8.8,16.3,114,110,0.2,0.2,0.4,0.109,0.4,0.3,0.7,0.1,22,59,2,8,20,51,7,8,5,38,43,11,5,4,6,15,71
Malcolm Brogdon,27,IND,NBA,2019-20,54,54,1666,17.7,0.309,0.25,3.1,14.1,8.6,33.8,1,0.5,13.7,25.2,111,111,2.3,1.7,4,0.114,2.3,-0.5,1.8,1.6,326,744,251,514,75,230,166,186,46,216,262,381,35,10,131,98,893
Dillon Brooks,24,MEM,NBA,2019-20,73,73,2112,11.3,0.385,0.19,3.5,8.6,6.1,10.5,1.4,1.1,9.7,25.2,100,113,-0.4,1.6,1.2,0.027,-2.6,-1.4,-4.1,-1.1,435,1068,288,657,147,411,164,203,68,175,243,150,63,27,124,278,1181
Bruce Brown,23,DET,NBA,2019-20,58,43,1634,11.9,0.215,0.266,4.2,15,9.5,20.4,1.9,1.5,16.7,16,106,112,0.7,1.4,2.1,0.062,-2,0.8,-1.2,0.3,198,447,165,351,33,96,88,119,61,213,274,230,63,29,100,162,517
Charlie Brown,22,ATL,NBA,2019-20,10,0,40,11,0.474,0.263,5.3,5.5,5.4,7.3,2.3,4.2,12.4,25.1,93,114,0,0,0,-0.028,-1.1,-1.4,-2.5,0,6,19,3,10,3,9,5,5,2,2,4,2,2,2,3,3,20
Jaylen Brown,23,BOS,NBA,2019-20,57,57,1934,16.9,0.381,0.274,3.5,16.5,10.1,9.7,1.6,1,11.2,24.7,110,108,2.3,2.6,4.9,0.123,1,-0.2,0.8,1.4,427,887,298,549,129,338,176,243,62,302,364,118,65,20,125,167,1159
Moses Brown,20,POR,NBA,2019-20,9,0,33,6.7,0,0.8,9.6,34.5,22.2,4,1.4,2.6,18.2,21.2,81,108,-0.1,0,0,-0.065,-8.2,-1.8,-10,-0.1,4,10,4,10,0,0,3,8,3,11,14,1,1,1,3,7,11
Sterling Brown,24,MIL,NBA,2019-20,52,1,767,9.5,0.531,0.156,4.3,18.5,11.8,8.6,1.7,0.8,13.3,17,97,103,-0.4,1.5,1.1,0.07,-3,1,-2,0,95,256,51,120,44,136,32,40,31,152,183,51,29,7,42,54,266
Troy Brown,20,WAS,NBA,2019-20,69,22,1782,13.7,0.288,0.223,4.5,19.6,11.7,14.1,2.2,0.3,10.4,17.8,109,114,1.3,1.2,2.4,0.065,-0.8,-0.4,-1.3,0.3,273,622,212,443,61,179,109,139,76,307,383,178,85,7,79,132,716
Jalen Brunson,23,DAL,NBA,2019-20,57,16,1022,14.9,0.309,0.193,2.3,11.3,6.9,27,1,0.3,13.6,20.4,114,114,1.6,0.6,2.1,0.101,0.1,-1,-0.9,0.3,181,388,138,268,43,120,61,75,22,112,134,188,22,4,66,74,466
Thomas Bryant,22,WAS,NBA,2019-20,46,36,1147,21.1,0.218,0.278,9,23.1,15.8,11.1,1,3.7,10.2,18.9,127,114,3.1,0.8,3.9,0.164,2.9,-0.7,2.2,1.2,243,418,206,327,37,91,86,116,98,233,331,83,25,49,53,103,609
Reggie Bullock,28,NYK,NBA,2019-20,29,19,684,9.3,0.496,0.094,2,8.8,5.3,8.8,1.8,0.4,7.5,15.6,105,115,0.2,0.3,0.5,0.036,-2.8,-0.3,-3,-0.2,90,224,53,113,37,111,17,21,13,55,68,42,25,3,19,56,234
Trey Burke,27,TOT,NBA,2019-20,33,1,520,15.6,0.359,0.139,3.4,7,5.2,23.7,1.5,0.3,8.7,20,117,113,1,0.4,1.3,0.123,0.8,-1,-0.2,0.2,94,209,62,134,32,75,23,29,16,34,50,83,16,2,21,33,243
Alec Burks,28,TOT,NBA,2019-20,66,19,1754,16.7,0.392,0.345,2.9,14.9,8.7,17.2,1.7,0.9,9.3,23.8,112,114,2.5,1.2,3.7,0.101,1.2,-0.7,0.5,1.1,321,768,205,467,116,301,235,265,48,234,282,189,62,17,91,128,993
Deonte Burton,26,OKC,NBA,2019-20,39,0,356,4.3,0.424,0.112,2.2,15.1,8.8,6.8,1,2.4,12.7,18.5,78,110,-0.9,0.4,-0.5,-0.067,-6.3,-0.5,-6.8,-0.4,43,125,33,72,10,53,8,14,7,50,57,17,7,10,19,34,104
Jimmy Butler,30,MIA,NBA,2019-20,58,58,1959,23.6,0.157,0.693,6.3,15.4,11,28.1,2.6,1.6,11.4,25.1,123,108,6.3,2.7,9,0.221,4,1.5,5.4,3.7,345,758,316,639,29,119,438,525,106,280,386,350,103,32,127,81,1157
Bruno Caboclo,24,TOT,NBA,2019-20,30,0,244,14.1,0.371,0.101,10,15.8,12.9,6.8,2.9,6.1,12.3,18,100,105,0,0.4,0.4,0.076,-3,0.9,-2.1,0,38,89,32,56,6,33,8,9,23,37,60,12,15,17,13,31,90
Devontae Cacok,23,LAL,NBA,2019-20,1,0,9,28.6,0,0,24.6,36.1,30.4,20.3,0,0,0,28.1,122,107,0,0,0,0.226,4.8,-4.6,0.2,0,3,6,3,6,0,0,0,0,2,3,5,1,0,0,0,0,6
Kentavious Caldwell-Pope,26,LAL,NBA,2019-20,69,26,1762,11,0.471,0.201,2.4,6.4,4.4,8.5,1.5,0.7,10.1,14.7,115,110,1.9,1.9,3.7,0.102,-1.2,0.4,-0.8,0.5,237,507,145,268,92,239,79,102,38,104,142,111,57,14,62,128,645
Vlatko Čančar,22,DEN,NBA,2019-20,14,0,45,11.4,0.4,0.267,12.5,12.4,12.4,9.1,1.1,2.1,15.2,19.1,106,113,0,0,0.1,0.062,-3.4,-1.2,-4.6,0,6,15,5,9,1,6,4,4,5,5,10,3,1,1,3,7,17
Clint Capela,25,HOU,NBA,2019-20,39,39,1279,20.6,0,0.268,13.6,30.5,22,5.7,1.2,4.8,12.7,16.1,124,105,2.8,2.1,4.9,0.184,1,0.4,1.4,1.1,244,388,244,388,0,0,55,104,168,369,537,48,33,72,63,102,543
DeMarre Carroll,33,TOT,NBA,2019-20,24,0,290,9.1,0.5,0.636,4.4,15.8,10.1,11.2,1.3,1.5,16.8,14.8,103,113,0,0.2,0.3,0.045,-3.1,-0.7,-3.9,-0.1,25,66,17,33,8,33,29,42,12,43,55,25,8,5,17,32,87
Jevon Carter,24,PHO,NBA,2019-20,58,2,945,11.3,0.601,0.111,3.5,10.5,6.9,11.9,2.4,1.6,11.2,12.9,114,111,0.8,1,1.8,0.093,-0.7,1.3,0.6,0.6,101,243,39,97,62,146,23,27,30,88,118,84,47,17,32,86,287
Vince Carter,43,ATL,NBA,2019-20,60,0,876,7.5,0.664,0.095,2.2,13.2,7.6,7.7,1.2,2.4,9.4,16.6,94,116,-0.6,0.4,-0.2,-0.011,-3.1,-1.2,-4.3,-0.5,107,304,46,102,61,202,23,29,18,106,124,48,23,25,33,90,298
Wendell Carter,20,CHI,NBA,2019-20,43,43,1256,15.5,0.085,0.443,11.6,24.6,17.8,6,1.3,2.7,14.9,16.4,115,108,1.7,1.6,3.3,0.127,-2.1,-0.3,-2.4,-0.1,183,343,177,314,6,29,112,152,139,266,405,51,33,36,72,162,484
Michael Carter-Williams,28,ORL,NBA,2019-20,45,0,833,15.3,0.288,0.365,5.8,13.5,9.5,19.1,2.9,2.4,14.7,18.3,109,107,0.7,1.2,1.9,0.111,-1.5,1.6,0.1,0.5,111,260,89,185,22,75,79,95,46,101,147,109,49,22,52,87,323
Alex Caruso,25,LAL,NBA,2019-20,64,2,1175,10.8,0.412,0.323,1.6,9.8,5.7,13.6,2.8,1.4,13.8,13.8,107,106,0.5,1.8,2.3,0.095,-2.6,2.4,-0.2,0.5,120,291,80,171,40,120,69,94,17,106,123,124,70,18,53,98,349
Willie Cauley-Stein,26,TOT,NBA,2019-20,54,39,1097,17,0.003,0.219,8,23.3,15.5,9.9,2.1,5,10.8,14.4,117,108,1.5,1.5,2.9,0.128,-1.2,1.7,0.5,0.7,175,302,175,301,0,1,40,66,84,231,315,70,49,61,40,121,390
Tyson Chandler,37,HOU,NBA,2019-20,26,5,219,10.8,0,0.722,11.8,19.8,15.8,3.5,1.3,3.1,25.2,6,135,109,0.3,0.3,0.6,0.131,-2.6,1.1,-1.5,0,14,18,14,18,0,0,6,13,25,41,66,6,6,8,8,32,34
Wilson Chandler,32,BRK,NBA,2019-20,35,3,734,7.4,0.661,0.126,1.6,18.5,10.2,7.3,1,1.4,15,12.9,99,110,-0.1,0.9,0.7,0.046,-3.8,1,-2.7,-0.1,74,183,37,62,37,121,20,23,11,134,145,39,16,12,34,79,205
