Player,Age,Tm,Lg,Season,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CJ McCollum,28,POR,NBA,2019-20,70,70,2556,17,0.378,0.136,1.9,10.2,6.1,19.1,1,1.4,8.1,25.9,111,118,3.5,0.6,4.1,0.077,2.3,-1.8,0.5,1.6,611,1356,417,844,194,512,140,185,46,251,297,310,54,42,127,183,1556
T.J. McConnell,27,IND,NBA,2019-20,71,3,1326,16.5,0.041,0.102,3.2,12.4,7.8,37.6,2,0.7,18.9,17.5,112,109,1.7,1.7,3.3,0.121,0.1,0.4,0.5,0.8,212,411,207,394,5,17,35,42,38,151,189,355,56,11,100,73,464
Jalen McDaniels,22,CHO,NBA,2019-20,16,0,293,10.7,0.343,0.243,5.4,19.4,12.1,6.8,1.4,0.9,12.4,13.3,112,113,0.2,0.2,0.5,0.078,-3.4,0.1,-3.3,-0.1,33,70,24,46,9,24,14,17,15,50,65,13,8,3,11,36,89
Doug McDermott,28,IND,NBA,2019-20,69,0,1372,14.4,0.537,0.106,2.1,11.7,7,8.4,0.4,0.3,6.8,19.6,117,113,2.3,1.1,3.3,0.117,1.4,-1.3,0,0.7,267,547,139,253,128,294,48,58,26,148,174,78,12,5,42,117,710
JaVale McGee,32,LAL,NBA,2019-20,68,68,1130,19.4,0.02,0.268,12.2,25.4,18.9,4.6,1.5,7.5,13.9,14.8,124,101,2.2,2.4,4.7,0.198,-0.6,2.1,1.5,1,195,306,192,300,3,6,53,82,125,265,390,37,36,94,55,159,446
Rodney McGruder,28,LAC,NBA,2019-20,56,4,871,6.7,0.492,0.188,3.6,14.2,9,5.3,1.4,0.8,10.9,10.6,100,109,-0.1,1.1,1,0.055,-3.7,0.8,-3,-0.2,72,181,48,92,24,89,19,34,29,122,151,36,26,8,24,74,187
Alfonzo McKinnie,27,CLE,NBA,2019-20,40,1,593,8.7,0.38,0.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,99,115,-0.2,0.3,0.2,0.014,-4.4,-0.9,-5.3,-0.5,73,171,59,106,14,65,22,31,37,76,113,14,23,8,26,72,182
Jordan McLaughlin,23,MIN,NBA,2019-20,30,2,590,16.3,0.427,0.219,1.2,7.8,4.4,31,2.7,0.6,13.7,15.8,121,113,1.1,0.4,1.6,0.13,0.3,0,0.3,0.3,87,178,58,102,29,76,26,39,7,42,49,125,34,4,31,31,229
Ben McLemore,26,HOU,NBA,2019-20,71,23,1619,11.8,0.829,0.123,1.3,8.9,5.1,5.2,1.3,0.8,8,16,118,113,2.2,1.1,3.3,0.099,0,-0.6,-0.5,0.6,242,545,61,93,181,452,50,67,21,136,157,58,45,16,50,155,715
Jordan McRae,28,TOT,NBA,2019-20,37,4,784,14.2,0.344,0.298,2.4,15.4,8.7,17.9,1.3,1.8,9.4,24.4,105,116,0.4,0.4,0.7,0.044,0,-1.5,-1.5,0.1,149,366,104,240,45,126,83,109,18,106,124,93,21,16,43,73,426
