"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Damian Lillard","POR",82,3167,531,1230,363,168,192,29,142,55,113
"Kevin Durant","OKC",81,3119,374,900,222,152,141,29,52,70,82
"Monta Ellis","MIL",82,3076,496,1127,361,135,232,58,71,35,100
"DeMar DeRozan","TOR",82,3013,204,502,110,94,53,24,33,27,67
"Kobe Bryant","LAL",78,3013,469,1092,315,154,210,46,59,46,108
"James Harden","HOU",78,2985,455,1098,267,188,205,29,33,75,113
"Stephen Curry","GSW",78,2983,539,1181,436,103,253,66,117,36,67
"Paul George","IND",79,2972,327,736,245,82,139,54,52,26,56
"Klay Thompson","GSW",82,2936,183,401,148,35,96,22,30,10,25
"Jrue Holiday","PHI",78,2926,625,1414,461,164,214,94,153,68,96
"O.J. Mayo","DAL",82,2913,361,795,288,73,132,78,78,18,55
"David Lee","GSW",79,2908,279,685,152,127,81,17,54,43,84
"Luol Deng","CHI",75,2903,222,489,177,45,114,20,43,11,34
"Brandon Jennings","MIL",80,2897,521,1165,398,123,219,44,135,40,83
"Evan Turner","PHI",82,2892,354,779,283,71,150,59,74,20,51
"LeBron James","MIA",76,2877,551,1298,355,196,219,29,107,104,92
"Russell Westbrook","OKC",82,2861,607,1350,471,136,251,70,150,41,95
"Kemba Walker","CHA",82,2859,471,1040,373,98,204,42,127,25,73
"Deron Williams","BKN",78,2842,604,1356,456,148,271,89,96,58,90
"Nicolas Batum","POR",73,2807,360,800,280,80,165,52,63,30,50
"Marc Gasol","MEM",80,2796,318,704,250,68,146,35,69,28,40
"LaMarcus Aldridge","POR",74,2790,192,474,102,90,66,10,26,24,66
"Andre Iguodala","DEN",80,2779,433,957,342,91,269,56,17,46,45
"Chandler Parsons","HOU",76,2758,269,634,173,96,122,20,31,40,56
"Mike Conley","MEM",80,2757,487,1035,426,61,179,89,158,20,41
"Al Horford","ATL",74,2757,240,593,127,113,79,15,33,42,71
"Dwight Howard","LAL",76,2722,108,273,51,57,30,5,16,16,41
"Greg Monroe","DET",81,2688,281,637,206,75,133,31,42,24,51
"Rudy Gay","TOR",75,2687,202,443,163,39,80,32,51,12,27
"Greivis Vasquez","NOH",78,2685,704,1573,539,165,307,95,137,28,137
"Josh Smith","ATL",76,2683,321,761,202,119,152,15,35,48,71
"JR Smith","NYK",80,2678,218,539,115,103,75,11,29,39,64
"Joe Johnson","BKN",72,2642,253,624,135,118,64,31,40,51,67
"Jeremy Lin","HOU",82,2640,497,1152,339,158,266,38,35,55,103
"Tayshaun Prince","MEM",82,2632,196,448,140,56,58,34,48,16,40
"Thaddeus Young","PHI",76,2629,125,283,92,33,50,14,28,14,19
"Jeff Teague","ATL",80,2628,579,1316,421,158,200,58,163,44,114
"George Hill","IND",76,2620,355,791,274,81,115,64,95,29,52
"Zach Randolph","MEM",76,2607,108,242,82,26,46,17,19,3,23
"Blake Griffin","LAC",80,2599,299,702,195,104,110,33,52,47,57
"Goran Dragic","PHX",77,2582,569,1250,457,112,214,54,189,41,71
"Al Jefferson","UTA",78,2578,164,397,95,69,51,15,29,5,64
"Paul Pierce","BOS",77,2575,370,810,300,70,107,54,139,39,31
"Tristan Thompson","CLE",82,2564,108,255,69,39,28,14,27,9,30
"Nikola Vucevic","ORL",77,2559,143,323,106,37,60,16,30,9,28
"Carlos Boozer","CHI",79,2547,179,396,141,38,89,19,33,9,29
"Alonzo Gee","CLE",82,2541,133,303,96,37,41,20,35,3,34
"Metta World Peace","LAL",75,2530,112,264,72,40,47,14,11,14,26
"Ty Lawson","DEN",73,2513,501,1145,358,143,254,59,45,43,100
"Ryan Anderson","NOH",81,2503,97,217,74,23,40,16,18,7,16
"Serge Ibaka","OKC",80,2486,43,106,23,20,15,3,5,7,13
"Carmelo Anthony","NYK",67,2482,171,442,71,100,54,4,13,31,69
"Luke Ridnour","MIN",82,2474,311,676,257,54,155,37,65,17,37
"Omer Asik","HOU",82,2464,75,172,53,22,38,4,11,10,12
"Chris Bosh","MIA",74,2454,123,288,81,42,54,7,20,12,30
"David West","IND",73,2436,213,502,137,76,98,22,17,24,52
"Joakim Noah","CHI",66,2426,262,573,213,49,130,26,57,12,37
"Wesley Matthews","POR",69,2403,174,391,131,43,61,19,51,15,28
"Dwyane Wade","MIA",69,2391,352,804,252,100,165,23,64,44,56
"JJ Redick","MIL",78,2380,296,663,225,71,125,44,56,27,44
"Paul Millsap","UTA",78,2375,201,485,118,83,63,15,40,29,54
"Darren Collison","DAL",81,2372,415,948,297,118,125,66,106,30,88
"Brandon Knight","DET",75,2365,303,663,246,57,148,32,66,15,42
"Jarrett Jack","GSW",79,2349,439,1005,312,127,134,52,126,45,82
"Chris Paul","LAC",70,2335,678,1542,492,186,312,58,122,71,115
"Amir Johnson","TOR",81,2325,122,265,101,21,64,10,27,7,14
"JJ Hickson","POR",80,2323,88,212,52,36,32,6,14,8,28
"Raymond Felton","NYK",68,2313,372,924,192,180,137,12,43,49,131
"Danilo Gallinari","DEN",71,2309,176,391,137,39,91,27,19,12,27
"Arron Afflalo","ORL",64,2307,206,474,144,62,63,21,60,16,46
"Kyle Singler","DET",82,2293,77,177,54,23,31,11,12,5,18
"DeMarcus Cousins","SAC",75,2290,199,465,132,67,89,16,27,29,38
"Jason Thompson","SAC",82,2285,84,193,59,25,43,7,9,7,18
"John Salmons","SAC",76,2278,226,508,170,56,96,38,36,22,34
"Lance Stephenson","IND",78,2278,223,515,154,69,80,35,39,21,48
"Roy Hibbert","IND",79,2269,113,259,80,33,57,13,10,10,23
"Kyle Korver","ATL",74,2259,146,325,113,33,64,21,28,14,19
"Brook Lopez","BKN",74,2254,70,173,37,33,28,1,8,12,21
"Jeff Green","BOS",81,2251,128,309,75,53,37,13,25,27,26
"Randy Foye","UTA",82,2249,167,365,136,31,59,22,55,14,17
"Kenneth Faried","DEN",80,2248,77,176,55,22,43,7,5,11,11
"Brandon Bass","BOS",81,2240,84,196,56,28,16,6,34,8,20
"Spencer Hawes","PHI",82,2233,183,399,150,33,71,27,52,15,18
"Jamal Crawford","LAC",76,2230,193,421,158,35,119,20,19,16,19
"Thabo Sefolosha","OKC",81,2229,125,276,99,26,48,11,40,7,19
"Danny Green","SAS",80,2200,141,305,118,23,54,26,38,11,12
"Martell Webster","WAS",76,2200,143,322,107,36,50,15,42,21,15
"Bismack Biyombo","CHA",80,2186,35,75,30,5,17,3,10,1,4
"Luis Scola","PHX",82,2184,182,410,136,46,65,18,53,14,32
"Tony Parker","SAS",66,2174,499,1168,329,170,186,44,99,75,95
"Rodney Stuckey","DET",76,2171,270,623,187,83,120,27,40,26,57
"Jared Dudley","PHX",79,2170,203,435,174,29,91,26,57,10,19
"Tyson Chandler","NYK",66,2164,62,146,40,22,22,3,15,4,18
"Jose Calderon","DET",73,2159,518,1127,427,91,214,79,134,28,63
"Andre Miller","DEN",82,2151,484,1044,408,76,325,40,43,30,46
"Kevin Martin","OKC",77,2136,106,238,80,26,40,14,26,9,17
"Robin Lopez","NOH",82,2136,64,144,48,16,27,6,15,1,15
"Jimmy Butler","CHI",82,2133,115,256,89,26,59,14,16,5,21
"Gerald Henderson","CHA",68,2133,177,409,122,55,65,23,34,17,38
"Jason Terry","BOS",79,2124,198,442,152,46,71,24,57,20,26
"Isaiah Thomas","SAC",79,2121,316,719,229,87,117,41,71,19,68
"Tony Allen","MEM",79,2109,98,217,77,21,55,8,14,14,7
"Gordon Hayward","UTA",72,2104,213,474,165,48,76,35,54,13,35
"Vince Carter","DAL",81,2093,194,431,151,43,75,40,36,13,30
"Nate Robinson","CHI",82,2086,358,777,297,61,126,36,135,17,44
"Tim Duncan","SAS",69,2078,184,403,149,35,104,22,23,12,23
"Gerald Wallace","BKN",69,2076,181,414,129,52,77,22,30,22,30
"Mario Chalmers","MIA",77,2068,273,606,213,60,121,21,71,26,34
"Al-Farouq Aminu","NOH",76,2066,103,239,70,33,32,14,24,7,26
"Matt Barnes","LAC",80,2058,123,281,88,35,66,9,13,11,24
"Harrison Barnes","GSW",81,2058,98,227,67,31,23,11,33,12,19
"Emeka Okafor","WAS",79,2052,93,222,57,36,25,7,25,13,23
"Kyrie Irving","CLE",59,2048,350,768,282,68,157,58,67,26,42
"Jason Kidd","NYK",76,2043,249,600,147,102,91,13,43,23,79
"Ray Allen","MIA",79,2035,135,319,86,49,53,10,23,29,20
"Andrei Kirilenko","MIN",64,2034,177,368,163,14,105,21,37,5,9
